NOT
vowel,b,d,g,p,t,k,v,z,Z,f,s,S,r,l,j
ain,35,27,32,26,23,26,13,6.4,8.4,5.9,0,6.5,6.4,0,1.1
an,43,40,41,40,37,31,27,21,18,14,11,11,9.8,6.7,4.5
on,39,34,36,24,28,19,14,7.4,9.6,2.9,2,5.6,11,8.5,1

Percentage
vowel,b,d,g,p,t,k,v,z,Z,f,s,S,r,l,j
ain,16,12,14,12,11,13,6.5,2.7,4.5,4.4,0,4.2,2.8,0,0.6
sd,4.4,6.3,6.7,5.2,4.5,5.4,6.9,4.6,6.7,6.8,0,5.7,5.6,0,3
an,19,17,18,19,16,15,13,8.5,8.7,7.2,5.7,5.4,4.6,3.4,2.4
sd,4,4.6,8.2,5.8,5.7,7.2,8.3,8.4,10.2,9.3,6.1,6.4,7.3,4.9,4.7
on,17,14,15,11,13,8.5,6.5,3.5,4.6,3,2.1,3.4,4.9,4.2,0.7
sd,4.6,4,6.4,6.8,4.5,7.1,6.3,5,5.8,7,4.7,6.2,8.2,5.1,2.2
mean,17,15,16,14,13,12,8.5,4.9,5.9,4.9,2.6,4.3,4.1,2.5,1.2

TotalDuration
vowel,b,d,g,p,t,k,v,z,Z,f,s,S,r,l,j
ain,224,227,230,216,211,215,212,217,194,207,220,206,228,207,113
sd,41.8,35.5,38.2,42.2,35.4,31,47.2,53.8,38.8,49.4,49,41.9,39.2,43.8,26.9
an,227,230,229,212,223,206,211,209,201,190,200,199,213,195,125
sd,39.4,29.3,28.8,29.6,38.2,33.1,36.7,39.3,41.1,29.2,39.3,35.9,29.1,42.5,32.5
on,229,237,243,207,223,221,219,211,208,214,212,211,224,201,123
sd,44,47.4,44.4,40.2,46.8,59.3,50,47.5,39.9,49,58.1,41.7,48.3,38.3,33.5
mean,227,231,234,212,219,214,214,212,201,204,211,205,222,201,120

FormantsMontagu
vowel,F1,F2,F3
E,525,1965,2832
ain,602,1519,2768
a,671,1408,2703
an,526,1106,2697
O,537,1264,2662
on,384,924,2641
o,388,965,2584
i,300,2600,3900
u,300,830,2700
