vowel,f1,f2,f3,group
a,824,1592,0,mePreviousFrench
ain,600,1386,0,mePreviousFrench
an,568,1020,0,mePreviousFrench
E,601,2263,0,mePreviousFrench
O,639,1289,0,mePreviousFrench
o,408,950,0,mePreviousFrench
oe,598,1690,0,mePreviousFrench
on,420,863,0,mePreviousFrench
E,525,1965,2832,montagu
ain,602,1519,2768,montagu
a,671,1408,2703,montagu
an,526,1106,2697,montagu
O,537,1264,2662,montagu
on,384,924,2641,montagu
o,388,965,2584,montagu
a,910,1552,2963,chineseFr
an,823,1293,3003,chineseFr
i,281,2689,3636,chineseFr
u,345,758,2746,chineseFr
ain,809,1640,3068,chineseFr
e,649,2223,3039,chineseFr
E,666,2168,2994,chineseFr
eu,615,1555,2588,chineseFr
o,495,966,2801,chineseFr
O,753,1212,2659,chineseFr
oe,665,1611,2572,chineseFr
on,507,990,2994,chineseFr
a,928,1626,2568,chinese
an,878,1653,3079,chinese
ang,893,1430,2969,chinese
i,373,2643,3639,chinese
ong,580,1045,2851,chinese
u,345,737,2675,chinese
i,275,2585,3815,gd
e,405,2553,3346,gd
E,614,2306,3137,gd
a,830,1438,2900,gd
y,276,2091,2579,gd
eu,409,1599,2703,gd
oe,599,1678,2843,gd
u,291,779,2648,gd
o,415,842,2862,gd
O,595,1144,2907,gd
