vowel	f1.1	f2.1	f3.1	f1.2	f2.2	f3.2	f1.3	f2.3	f3.3	f1.4	f2.4	f3.4	f1.5	f2.5	f3.5	f1.6	f2.6	f3.6	f1.7	f2.7	f3.7	f1.8	f2.8	f3.8
.ai	845	1333	2494	876	1352	2483	862	1360	2534	851	1421	2512	829	1519	2536	772	1666	2493	627	1952	2518	492	2163	2687
.ao	809	1201	2540	825	1185	2592	814	1158	2648	773	1069	2679	695	1014	2750	611	917	2727	534	828	2734	456	771	2703
.ei	585	1966	2663	573	1997	2663	525	2045	2651	483	2070	2685	461	2134	2684	417	2210	2783	371	2251	2800	349	2250	2964
.ou	567	1089	2555	556	1030	2608	514	964	2658	480	874	2660	458	843	2766	407	736	2773	362	694	2781	337	630	2794
.wa	307	511	2368	320	603	2463	473	854	2528	783	1166	2535	898	1271	2510	902	1334	1825	917	1330	2066	876	1310	2537
.wo	259	616	2325	294	646	2932	342	654	2711	440	770	2779	497	839	2741	573	914	2772	615	971	2783	611	1005	2723
wai	287	661	2591	443	845	2571	784	1265	2503	902	1443	2470	900	1566	2485	794	1823	2516	587	2111	2666	436	2255	2982
wei	260	651	2466	334	827	2462	536	1320	2445	512	2015	2597	443	2212	2674	403	2236	2839	357	2304	2916	355	2299	2837
.ia	246	2102	3267	418	2139	2885	734	1849	2505	895	1512	2439	913	1396	2122	965	1441	2501	930	1434	2504	803	1088	1897
.ie	242	2205	3680	241	2312	3601	278	2301	3336	347	2317	3072	439	2252	2912	484	2211	2801	556	2122	2681	566	2050	2663
iao	319	2141	3106	560	2062	2681	776	1522	2338	836	1364	2426	805	1251	2494	724	1089	2548	612	989	2601	549	885	2618
iou	240	2273	3616	249	2149	3433	428	2083	2432	476	1131	2427	454	929	2543	430	815	2563	398	789	2529	365	714	2539
.ye	243	1806	2018	258	1789	2182	319	1348	2145	364	1361	2129	439	1364	2252	496	1789	2440	574	1924	2575	600	1889	2605
i	264	2311	3439	266	2333	3428	269	2364	3339	270	2286	3351	267	2198	3304	272	2304	3214	269	2086	3201	255	2144	3201
a	911	1386	2408	930	1391	2405	916	1398	2437	910	1398	2458	906	1400	2470	908	1401	2476	901	1397	2479	910	1393	2431
ee	374	1164	2468	384	1173	2500	411	1178	2637	427	1177	2473	498	1184	2515	543	1190	2714	592	1174	2644	625	1234	2607
u	280	589	2523	361	662	1705	349	834	3059	343	790	2405	349	791	1936	361	809	2372	353	808	2243	331	750	1955
y	276	1885	2084	282	1719	2050	286	1543	2071	293	1724	2085	299	1783	2040	299	1804	2076	303	1759	2095	276	1876	2126
