subject,gender,vowel,f1,f2,f3,percent
french,man,a,1020,1560,2564,10
french,man,a,1002,1552,2621,20
french,man,a,980,1493,2603,30
french,man,a,961,1493,2550,40
french,man,a,949,1578,2687,50
french,man,a,974,1550,2507,60
french,man,a,996,1574,2597,70
french,man,a,1340,1688,2696,80
french,man,i,266,2384,3182,10
french,man,i,263,2429,3296,20
french,man,i,261,2589,3091,30
french,man,i,260,2251,3267,40
french,man,i,259,2218,3164,50
french,man,i,257,2160,3165,60
french,man,i,258,2224,3161,70
french,man,i,256,2180,3173,80
french,man,u,265,675,2147,10
french,man,u,264,698,2721,20
french,man,u,269,760,2572,30
french,man,u,268,780,2454,40
french,man,u,264,702,2341,50
french,man,u,263,715,2342,60
french,man,u,263,684,2338,70
french,man,u,266,755,1968,80
french,man,y,264,1779,2140,10
french,man,y,266,1714,2178,20
french,man,y,262,1757,2095,30
french,man,y,258,1685,1998,40
french,man,y,261,1755,2056,50
french,man,y,261,1698,2077,60
french,man,y,260,1709,2066,70
french,man,y,258,1722,2159,80
french,man,e,308,2255,2756,10
french,man,e,309,2301,2745,20
french,man,e,302,2338,2836,30
french,man,e,296,2314,2829,40
french,man,e,291,2353,2830,50
french,man,e,278,2380,2833,60
french,man,e,274,2314,2824,70
french,man,e,272,2500,2864,80
french,man,ai,498,2065,2779,10
french,man,ai,495,2049,2802,20
french,man,ai,484,2066,2779,30
french,man,ai,459,1973,2760,40
french,man,ai,454,2119,2656,50
french,man,ai,460,2029,2772,60
french,man,ai,452,2121,2784,70
french,man,ai,380,2125,2777,80
french,man,o,498,1060,2594,10
french,man,o,421,901,2706,20
french,man,o,331,870,2485,30
french,man,o,317,794,2351,40
french,man,o,320,800,2313,50
french,man,o,309,778,1882,60
french,man,o,286,683,2864,70
french,man,o,293,659,2771,80
french,man,ao,452,884,2740,10
french,man,ao,436,886,2810,20
french,man,ao,433,914,2814,30
french,man,ao,442,920,2861,40
french,man,ao,408,890,2810,50
french,man,ao,408,913,2812,60
french,man,ao,408,909,2785,70
french,man,ao,366,883,2728,80
french,man,eu,316,1134,2477,10
french,man,eu,322,1130,2494,20
french,man,eu,340,1127,2761,30
french,man,eu,361,1145,2732,40
french,man,eu,368,1142,2737,50
french,man,eu,369,1141,2704,60
french,man,eu,365,1127,2754,70
french,man,eu,316,1140,2801,80
french,man,oe,432,1263,2694,10
french,man,oe,478,1289,2656,20
french,man,oe,467,1260,2555,30
french,man,oe,479,1258,2759,40
french,man,oe,477,1242,2812,50
french,man,oe,473,1216,2680,60
french,man,oe,474,1222,2865,70
french,man,oe,441,1166,2808,80
