subject,gender,vowel,f1,f2,f3,number
chinese,male,i,264,2311,3439,10
chinese,male,i,266,2333,3428,20
chinese,male,i,269,2364,3339,30
chinese,male,i,270,2286,3351,40
chinese,male,i,267,2198,3304,50
chinese,male,i,272,2304,3214,60
chinese,male,i,269,2086,3201,70
chinese,male,i,255,2144,3201,80
chinese,male,a,911,1386,2408,10
chinese,male,a,930,1391,2405,20
chinese,male,a,916,1398,2437,30
chinese,male,a,910,1398,2458,40
chinese,male,a,906,1400,2470,50
chinese,male,a,908,1401,2476,60
chinese,male,a,901,1397,2479,70
chinese,male,a,910,1393,2431,80
chinese,male,ee,374,1164,2468,10
chinese,male,ee,384,1173,2500,20
chinese,male,ee,411,1178,2637,30
chinese,male,ee,427,1177,2473,40
chinese,male,ee,498,1184,2515,50
chinese,male,ee,543,1190,2714,60
chinese,male,ee,592,1174,2644,70
chinese,male,ee,625,1234,2607,80
chinese,male,u,280,589,2523,10
chinese,male,u,361,662,1705,20
chinese,male,u,349,834,3059,30
chinese,male,u,343,790,2405,40
chinese,male,u,349,791,1936,50
chinese,male,u,361,809,2372,60
chinese,male,u,353,808,2243,70
chinese,male,u,331,750,1955,80
chinese,male,y,276,1885,2084,10
chinese,male,y,282,1719,2050,20
chinese,male,y,286,1543,2071,30
chinese,male,y,293,1724,2085,40
chinese,male,y,299,1783,2040,50
chinese,male,y,299,1804,2076,60
chinese,male,y,303,1759,2095,70
chinese,male,y,276,1876,2126,80
