"voyelle" "partie" "vitesse" "durée" "locuteur"
"ain" "oral" "lente" 31 "fr"
"ain" "oral" "lente" 27 "fr"
"ain" "oral" "lente" 40 "fr"
"ain" "oral" "lente" 44 "fr"
"ain" "oral" "lente" 54 "fr"
"ain" "oral" "lente" 41 "fr"
"ain" "oral" "lente" 22 "fr"
"ain" "oral" "lente" 41 "fr"
"ain" "oral" "lente" 29 "fr"
"ain" "oral" "lente" 45 "fr"
"ain" "oral" "lente" 46 "fr"
"ain" "oral" "lente" 38 "fr"
"ain" "oral" "lente" 23 "fr"
"ain" "oral" "lente" 38 "fr"
"ain" "oral" "lente" 31 "fr"
"ain" "oral" "lente" 46 "fr"
"ain" "oral" "lente" 30 "fr"
"ain" "oral" "lente" 27 "fr"
"ain" "oral" "lente" 47 "fr"
"ain" "oral" "lente" 42 "fr"
"ain" "oral" "lente" 17 "fr"
"ain" "oral" "lente" 30 "fr"
"ain" "oral" "lente" 43 "fr"
"ain" "oral" "lente" 40 "fr"
"ain" "oral" "lente" 37 "fr"
"ain" "oral" "lente" 63 "fr"
"ain" "oral" "lente" 52 "fr"
"ain" "oral" "lente" 39 "fr"
"ain" "oral" "lente" 38 "fr"
"ain" "oral" "lente" 34 "fr"
"ain" "oral" "lente" 32 "fr"
"ain" "oral" "lente" 48 "fr"
"ain" "oral" "lente" 44 "fr"
"ain" "oral" "lente" 32 "fr"
"ain" "oral" "lente" 48 "fr"
"ain" "oral" "lente" 26 "fr"
"ain" "oral" "lente" 49 "fr"
"ain" "oral" "lente" 44 "fr"
"ain" "oral" "lente" 34 "fr"
"ain" "oral" "lente" 41 "fr"
"ain" "oral" "lente" 21 "fr"
"ain" "oral" "lente" 57 "fr"
"ain" "oral" "lente" 38 "fr"
"ain" "oral" "lente" 51 "fr"
"ain" "oral" "lente" 54 "fr"
"ain" "oral" "lente" 46 "fr"
"ain" "oral" "lente" 44 "fr"
"ain" "oral" "lente" 47 "fr"
"ain" "oral" "lente" 40 "fr"
"ain" "oral" "lente" 42 "fr"
"ain" "oral" "lente" 43 "fr"
"ain" "oral" "lente" 39 "fr"
"ain" "oral" "lente" 33 "fr"
"ain" "oral" "lente" 11 "fr"
"ain" "oral" "lente" 56 "fr"
"ain" "oral" "lente" 35 "fr"
"ain" "oral" "lente" 55 "fr"
"ain" "oral" "lente" 28 "fr"
"ain" "oral" "lente" 42 "fr"
"ain" "oral" "lente" 32 "fr"
"ain" "nasal" "lente" 405 "fr"
"ain" "nasal" "lente" 356 "fr"
"ain" "nasal" "lente" 291 "fr"
"ain" "nasal" "lente" 398 "fr"
"ain" "nasal" "lente" 313 "fr"
"ain" "nasal" "lente" 361 "fr"
"ain" "nasal" "lente" 322 "fr"
"ain" "nasal" "lente" 364 "fr"
"ain" "nasal" "lente" 282 "fr"
"ain" "nasal" "lente" 375 "fr"
"ain" "nasal" "lente" 361 "fr"
"ain" "nasal" "lente" 373 "fr"
"ain" "nasal" "lente" 334 "fr"
"ain" "nasal" "lente" 330 "fr"
"ain" "nasal" "lente" 280 "fr"
"ain" "nasal" "lente" 365 "fr"
"ain" "nasal" "lente" 310 "fr"
"ain" "nasal" "lente" 296 "fr"
"ain" "nasal" "lente" 396 "fr"
"ain" "nasal" "lente" 265 "fr"
"ain" "nasal" "lente" 323 "fr"
"ain" "nasal" "lente" 337 "fr"
"ain" "nasal" "lente" 298 "fr"
"ain" "nasal" "lente" 360 "fr"
"ain" "nasal" "lente" 350 "fr"
"ain" "nasal" "lente" 372 "fr"
"ain" "nasal" "lente" 307 "fr"
"ain" "nasal" "lente" 324 "fr"
"ain" "nasal" "lente" 304 "fr"
"ain" "nasal" "lente" 293 "fr"
"ain" "nasal" "lente" 337 "fr"
"ain" "nasal" "lente" 379 "fr"
"ain" "nasal" "lente" 309 "fr"
"ain" "nasal" "lente" 316 "fr"
"ain" "nasal" "lente" 345 "fr"
"ain" "nasal" "lente" 328 "fr"
"ain" "nasal" "lente" 349 "fr"
"ain" "nasal" "lente" 377 "fr"
"ain" "nasal" "lente" 338 "fr"
