"voyelle" "partie" "vitesse" "durée" "locuteur"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 32 "fr"
"ain" "oral" "normal" 38 "fr"
"ain" "oral" "normal" 42 "fr"
"ain" "oral" "normal" 41 "fr"
"ain" "oral" "normal" 38 "fr"
"ain" "oral" "normal" 45 "fr"
"ain" "oral" "normal" 42 "fr"
"ain" "oral" "normal" 35 "fr"
"ain" "oral" "normal" 35 "fr"
"ain" "oral" "normal" 39 "fr"
"ain" "oral" "normal" 37 "fr"
"ain" "oral" "normal" 42 "fr"
"ain" "oral" "normal" 49 "fr"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 37 "fr"
"ain" "oral" "normal" 39 "fr"
"ain" "oral" "normal" 42 "fr"
"ain" "oral" "normal" 44 "fr"
"ain" "oral" "normal" 36 "fr"
"ain" "oral" "normal" 38 "fr"
"ain" "oral" "normal" 38 "fr"
"ain" "oral" "normal" 33 "fr"
"ain" "oral" "normal" 39 "fr"
"ain" "oral" "normal" 39 "fr"
"ain" "oral" "normal" 32 "fr"
"ain" "oral" "normal" 38 "fr"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 40 "fr"
"ain" "oral" "normal" 37 "fr"
"ain" "oral" "normal" 36 "fr"
"ain" "oral" "normal" 40 "fr"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 41 "fr"
"ain" "oral" "normal" 42 "fr"
"ain" "oral" "normal" 42 "fr"
"ain" "oral" "normal" 44 "fr"
"ain" "oral" "normal" 47 "fr"
"ain" "oral" "normal" 39 "fr"
"ain" "oral" "normal" 44 "fr"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 41 "fr"
"ain" "oral" "normal" 44 "fr"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 48 "fr"
"ain" "oral" "normal" 38 "fr"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 36 "fr"
"ain" "oral" "normal" 42 "fr"
"ain" "oral" "normal" 35 "fr"
"ain" "oral" "normal" 45 "fr"
"ain" "oral" "normal" 44 "fr"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 43 "fr"
"ain" "oral" "normal" 38 "fr"
"ain" "oral" "normal" 40 "fr"
"ain" "oral" "normal" 37 "fr"
"ain" "oral" "normal" 39 "fr"
"ain" "oral" "normal" 37 "fr"
"ain" "oral" "normal" 35 "fr"
"ain" "nasal" "normal" 163 "fr"
"ain" "nasal" "normal" 195 "fr"
"ain" "nasal" "normal" 114 "fr"
"ain" "nasal" "normal" 184 "fr"
"ain" "nasal" "normal" 189 "fr"
"ain" "nasal" "normal" 179 "fr"
"ain" "nasal" "normal" 154 "fr"
"ain" "nasal" "normal" 185 "fr"
"ain" "nasal" "normal" 156 "fr"
"ain" "nasal" "normal" 180 "fr"
"ain" "nasal" "normal" 183 "fr"
"ain" "nasal" "normal" 168 "fr"
"ain" "nasal" "normal" 137 "fr"
"ain" "nasal" "normal" 157 "fr"
"ain" "nasal" "normal" 168 "fr"
"ain" "nasal" "normal" 141 "fr"
"ain" "nasal" "normal" 137 "fr"
"ain" "nasal" "normal" 184 "fr"
"ain" "nasal" "normal" 166 "fr"
"ain" "nasal" "normal" 172 "fr"
"ain" "nasal" "normal" 174 "fr"
"ain" "nasal" "normal" 180 "fr"
"ain" "nasal" "normal" 190 "fr"
"ain" "nasal" "normal" 203 "fr"
"ain" "nasal" "normal" 154 "fr"
"ain" "nasal" "normal" 151 "fr"
"ain" "nasal" "normal" 179 "fr"
"ain" "nasal" "normal" 146 "fr"
"ain" "nasal" "normal" 166 "fr"
"ain" "nasal" "normal" 205 "fr"
"ain" "nasal" "normal" 188 "fr"
"ain" "nasal" "normal" 185 "fr"
"ain" "nasal" "normal" 167 "fr"
"ain" "nasal" "normal" 214 "fr"
"ain" "nasal" "normal" 139 "fr"
"ain" "nasal" "normal" 144 "fr"
"ain" "nasal" "normal" 155 "fr"
"ain" "nasal" "normal" 177 "fr"
"ain" "nasal" "normal" 157 "fr"
"ain" "nasal" "normal" 170 "fr"
"ain" "nasal" "normal" 162 "fr"
"ain" "nasal" "normal" 146 "fr"
"ain" "nasal" "normal" 175 "fr"
"ain" "nasal" "normal" 213 "fr"
"ain" "nasal" "normal" 194 "fr"
"ain" "nasal" "normal" 204 "fr"
"ain" "nasal" "normal" 203 "fr"
"ain" "nasal" "normal" 153 "fr"
"ain" "nasal" "normal" 160 "fr"
"ain" "nasal" "normal" 176 "fr"
"ain" "nasal" "normal" 157 "fr"
"ain" "nasal" "normal" 138 "fr"
"ain" "nasal" "normal" 200 "fr"
"ain" "nasal" "normal" 186 "fr"
"ain" "nasal" "normal" 185 "fr"
"ain" "nasal" "normal" 154 "fr"
"ain" "nasal" "normal" 144 "fr"
"ain" "nasal" "normal" 161 "fr"
"ain" "nasal" "normal" 203 "fr"
"ain" "nasal" "normal" 171 "fr"
"an" "oral" "normal" 56 "fr"
"an" "oral" "normal" 49 "fr"
"an" "oral" "normal" 52 "fr"
"an" "oral" "normal" 43 "fr"
"an" "oral" "normal" 37 "fr"
"an" "oral" "normal" 58 "fr"
"an" "oral" "normal" 49 "fr"
"an" "oral" "normal" 37 "fr"
"an" "oral" "normal" 52 "fr"
"an" "oral" "normal" 48 "fr"
"an" "oral" "normal" 45 "fr"
"an" "oral" "normal" 34 "fr"
"an" "oral" "normal" 44 "fr"
"an" "oral" "normal" 39 "fr"
"an" "oral" "normal" 57 "fr"
"an" "oral" "normal" 37 "fr"
"an" "oral" "normal" 52 "fr"
"an" "oral" "normal" 34 "fr"
"an" "oral" "normal" 45 "fr"
"an" "oral" "normal" 49 "fr"
"an" "oral" "normal" 40 "fr"
"an" "oral" "normal" 35 "fr"
"an" "oral" "normal" 55 "fr"
"an" "oral" "normal" 30 "fr"
"an" "oral" "normal" 63 "fr"
"an" "oral" "normal" 54 "fr"
"an" "oral" "normal" 42 "fr"
"an" "oral" "normal" 43 "fr"
"an" "oral" "normal" 55 "fr"
"an" "oral" "normal" 75 "fr"
"an" "oral" "normal" 39 "fr"
"an" "oral" "normal" 56 "fr"
"an" "oral" "normal" 63 "fr"
"an" "oral" "normal" 53 "fr"
"an" "oral" "normal" 38 "fr"
