"voyelle" "partie" "vitesse" "durée" "groupe"
"ain" "oral" "lente" 87 "group1"
"ain" "oral" "lente" 115 "group1"
"ain" "oral" "lente" 115 "group1"
"ain" "oral" "lente" 80 "group1"
"ain" "oral" "lente" 105 "group1"
"ain" "oral" "lente" 83 "group1"
"ain" "oral" "lente" 103 "group1"
"ain" "oral" "lente" 78 "group1"
"ain" "oral" "lente" 84 "group1"
"ain" "oral" "lente" 88 "group1"
"ain" "oral" "lente" 90 "group1"
"ain" "oral" "lente" 111 "group1"
"ain" "oral" "lente" 69 "group1"
"ain" "oral" "lente" 82 "group1"
"ain" "oral" "lente" 88 "group1"
"ain" "oral" "lente" 108 "group1"
"ain" "oral" "lente" 83 "group1"
"ain" "oral" "lente" 84 "group1"
"ain" "oral" "lente" 97 "group1"
"ain" "oral" "lente" 61 "group1"
"ain" "nasal" "lente" 287 "group1"
"ain" "nasal" "lente" 286 "group1"
"ain" "nasal" "lente" 325 "group1"
"ain" "nasal" "lente" 286 "group1"
"ain" "nasal" "lente" 250 "group1"
"ain" "nasal" "lente" 199 "group1"
"ain" "nasal" "lente" 308 "group1"
"ain" "nasal" "lente" 328 "group1"
"ain" "nasal" "lente" 249 "group1"
"ain" "nasal" "lente" 236 "group1"
"ain" "nasal" "lente" 267 "group1"
"ain" "nasal" "lente" 324 "group1"
"ain" "nasal" "lente" 297 "group1"
"ain" "nasal" "lente" 334 "group1"
"ain" "nasal" "lente" 297 "group1"
"ain" "nasal" "lente" 270 "group1"
"ain" "nasal" "lente" 346 "group1"
"ain" "nasal" "lente" 393 "group1"
"ain" "nasal" "lente" 232 "group1"
"ain" "nasal" "lente" 258 "group1"
"an" "oral" "lente" 132 "group1"
"an" "oral" "lente" 214 "group1"
"an" "oral" "lente" 180 "group1"
"an" "oral" "lente" 175 "group1"
"an" "oral" "lente" 205 "group1"
"an" "oral" "lente" 178 "group1"
"an" "oral" "lente" 153 "group1"
"an" "oral" "lente" 113 "group1"
"an" "oral" "lente" 98 "group1"
"an" "oral" "lente" 148 "group1"
"an" "oral" "lente" 124 "group1"
"an" "oral" "lente" 140 "group1"
"an" "oral" "lente" 149 "group1"
"an" "oral" "lente" 166 "group1"
"an" "oral" "lente" 150 "group1"
"an" "oral" "lente" 176 "group1"
"an" "oral" "lente" 125 "group1"
"an" "oral" "lente" 112 "group1"
"an" "oral" "lente" 130 "group1"
"an" "oral" "lente" 109 "group1"
"an" "nasal" "lente" 305 "group1"
"an" "nasal" "lente" 305 "group1"
"an" "nasal" "lente" 240 "group1"
"an" "nasal" "lente" 304 "group1"
"an" "nasal" "lente" 296 "group1"
"an" "nasal" "lente" 261 "group1"
"an" "nasal" "lente" 302 "group1"
"an" "nasal" "lente" 289 "group1"
"an" "nasal" "lente" 307 "group1"
"an" "nasal" "lente" 246 "group1"
"an" "nasal" "lente" 258 "group1"
"an" "nasal" "lente" 285 "group1"
"an" "nasal" "lente" 301 "group1"
"an" "nasal" "lente" 280 "group1"
"an" "nasal" "lente" 290 "group1"
"an" "nasal" "lente" 267 "group1"
"an" "nasal" "lente" 299 "group1"
"an" "nasal" "lente" 300 "group1"
"an" "nasal" "lente" 307 "group1"
"an" "nasal" "lente" 297 "group1"
"on" "oral" "lente" 171 "group1"
"on" "oral" "lente" 201 "group1"
"on" "oral" "lente" 223 "group1"
"on" "oral" "lente" 207 "group1"
"on" "oral" "lente" 186 "group1"
"on" "oral" "lente" 172 "group1"
"on" "oral" "lente" 123 "group1"
"on" "oral" "lente" 146 "group1"
"on" "oral" "lente" 161 "group1"
"on" "oral" "lente" 136 "group1"
"on" "oral" "lente" 146 "group1"
"on" "oral" "lente" 212 "group1"
"on" "oral" "lente" 190 "group1"
"on" "oral" "lente" 183 "group1"
"on" "oral" "lente" 144 "group1"
"on" "oral" "lente" 153 "group1"
"on" "oral" "lente" 191 "group1"
"on" "oral" "lente" 178 "group1"
"on" "oral" "lente" 194 "group1"
"on" "oral" "lente" 152 "group1"
"on" "nasal" "lente" 239 "group1"
"on" "nasal" "lente" 362 "group1"
"on" "nasal" "lente" 266 "group1"
"on" "nasal" "lente" 246 "group1"
"on" "nasal" "lente" 284 "group1"
"on" "nasal" "lente" 333 "group1"
"on" "nasal" "lente" 340 "group1"
"on" "nasal" "lente" 326 "group1"
"on" "nasal" "lente" 322 "group1"
"on" "nasal" "lente" 292 "group1"
"on" "nasal" "lente" 312 "group1"
"on" "nasal" "lente" 371 "group1"
"on" "nasal" "lente" 334 "group1"
"on" "nasal" "lente" 269 "group1"
"on" "nasal" "lente" 300 "group1"
"on" "nasal" "lente" 375 "group1"
"on" "nasal" "lente" 308 "group1"
"on" "nasal" "lente" 266 "group1"
"on" "nasal" "lente" 256 "group1"
"on" "nasal" "lente" 289 "group1"
"ain" "oral" "lente" 93 "group2"
"ain" "oral" "lente" 113 "group2"
"ain" "oral" "lente" 95 "group2"
"ain" "oral" "lente" 75 "group2"
"ain" "oral" "lente" 83 "group2"
"ain" "oral" "lente" 81 "group2"
"ain" "oral" "lente" 84 "group2"
"ain" "oral" "lente" 99 "group2"
"ain" "oral" "lente" 87 "group2"
"ain" "oral" "lente" 78 "group2"
"ain" "oral" "lente" 59 "group2"
"ain" "oral" "lente" 83 "group2"
"ain" "oral" "lente" 105 "group2"
"ain" "oral" "lente" 75 "group2"
"ain" "oral" "lente" 95 "group2"
"ain" "oral" "lente" 69 "group2"
"ain" "oral" "lente" 109 "group2"
"ain" "oral" "lente" 107 "group2"
"ain" "oral" "lente" 99 "group2"
"ain" "oral" "lente" 76 "group2"
"ain" "nasal" "lente" 284 "group2"
"ain" "nasal" "lente" 319 "group2"
"ain" "nasal" "lente" 257 "group2"
"ain" "nasal" "lente" 276 "group2"
"ain" "nasal" "lente" 245 "group2"
"ain" "nasal" "lente" 269 "group2"
"ain" "nasal" "lente" 300 "group2"
"ain" "nasal" "lente" 304 "group2"
"ain" "nasal" "lente" 275 "group2"
"ain" "nasal" "lente" 311 "group2"
"ain" "nasal" "lente" 262 "group2"
"ain" "nasal" "lente" 318 "group2"
"ain" "nasal" "lente" 330 "group2"
"ain" "nasal" "lente" 273 "group2"
"ain" "nasal" "lente" 279 "group2"
"ain" "nasal" "lente" 282 "group2"
"ain" "nasal" "lente" 270 "group2"
"ain" "nasal" "lente" 315 "group2"
"ain" "nasal" "lente" 217 "group2"
"ain" "nasal" "lente" 311 "group2"
"an" "oral" "lente" 187 "group2"
"an" "oral" "lente" 159 "group2"
"an" "oral" "lente" 158 "group2"
"an" "oral" "lente" 149 "group2"
"an" "oral" "lente" 159 "group2"
"an" "oral" "lente" 161 "group2"
"an" "oral" "lente" 155 "group2"
"an" "oral" "lente" 174 "group2"
"an" "oral" "lente" 160 "group2"
"an" "oral" "lente" 162 "group2"
"an" "oral" "lente" 191 "group2"
"an" "oral" "lente" 203 "group2"
"an" "oral" "lente" 159 "group2"
"an" "oral" "lente" 129 "group2"
"an" "oral" "lente" 144 "group2"
"an" "oral" "lente" 147 "group2"
"an" "oral" "lente" 160 "group2"
"an" "oral" "lente" 150 "group2"
"an" "oral" "lente" 153 "group2"
