"voyelle" "partie" "vitesse" "durée"
"ain" "oral" "lente" 87
"ain" "oral" "lente" 115
"ain" "oral" "lente" 115
"ain" "oral" "lente" 80
"ain" "oral" "lente" 105
"ain" "oral" "lente" 83
"ain" "oral" "lente" 103
"ain" "oral" "lente" 78
"ain" "oral" "lente" 84
"ain" "oral" "lente" 88
"ain" "oral" "lente" 90
"ain" "oral" "lente" 111
"ain" "oral" "lente" 69
"ain" "oral" "lente" 82
"ain" "oral" "lente" 88
"ain" "oral" "lente" 108
"ain" "oral" "lente" 83
"ain" "oral" "lente" 84
"ain" "oral" "lente" 97
"ain" "oral" "lente" 61
"ain" "nasal" "lente" 287
"ain" "nasal" "lente" 286
"ain" "nasal" "lente" 325
"ain" "nasal" "lente" 286
"ain" "nasal" "lente" 250
"ain" "nasal" "lente" 199
"ain" "nasal" "lente" 308
"ain" "nasal" "lente" 328
"ain" "nasal" "lente" 249
"ain" "nasal" "lente" 236
"ain" "nasal" "lente" 267
"ain" "nasal" "lente" 324
"ain" "nasal" "lente" 297
"ain" "nasal" "lente" 334
"ain" "nasal" "lente" 297
"ain" "nasal" "lente" 270
"ain" "nasal" "lente" 346
"ain" "nasal" "lente" 393
"ain" "nasal" "lente" 232
"ain" "nasal" "lente" 258
"an" "oral" "lente" 132
"an" "oral" "lente" 214
"an" "oral" "lente" 180
"an" "oral" "lente" 175
"an" "oral" "lente" 205
"an" "oral" "lente" 178
"an" "oral" "lente" 153
"an" "oral" "lente" 113
"an" "oral" "lente" 98
"an" "oral" "lente" 148
"an" "oral" "lente" 124
"an" "oral" "lente" 140
"an" "oral" "lente" 149
"an" "oral" "lente" 166
"an" "oral" "lente" 150
"an" "oral" "lente" 176
"an" "oral" "lente" 125
"an" "oral" "lente" 112
"an" "oral" "lente" 130
"an" "oral" "lente" 109
"an" "nasal" "lente" 305
"an" "nasal" "lente" 305
"an" "nasal" "lente" 240
"an" "nasal" "lente" 304
"an" "nasal" "lente" 296
"an" "nasal" "lente" 261
"an" "nasal" "lente" 302
"an" "nasal" "lente" 289
"an" "nasal" "lente" 307
"an" "nasal" "lente" 246
"an" "nasal" "lente" 258
"an" "nasal" "lente" 285
"an" "nasal" "lente" 301
"an" "nasal" "lente" 280
"an" "nasal" "lente" 290
"an" "nasal" "lente" 267
"an" "nasal" "lente" 299
"an" "nasal" "lente" 300
"an" "nasal" "lente" 307
"an" "nasal" "lente" 297
"on" "oral" "lente" 171
"on" "oral" "lente" 201
"on" "oral" "lente" 223
"on" "oral" "lente" 207
"on" "oral" "lente" 186
"on" "oral" "lente" 172
"on" "oral" "lente" 123
"on" "oral" "lente" 146
"on" "oral" "lente" 161
"on" "oral" "lente" 136
"on" "oral" "lente" 146
"on" "oral" "lente" 212
"on" "oral" "lente" 190
"on" "oral" "lente" 183
"on" "oral" "lente" 144
"on" "oral" "lente" 153
"on" "oral" "lente" 191
"on" "oral" "lente" 178
"on" "oral" "lente" 194
"on" "oral" "lente" 152
"on" "nasal" "lente" 239
"on" "nasal" "lente" 362
"on" "nasal" "lente" 266
"on" "nasal" "lente" 246
"on" "nasal" "lente" 284
"on" "nasal" "lente" 333
"on" "nasal" "lente" 340
"on" "nasal" "lente" 326
"on" "nasal" "lente" 322
"on" "nasal" "lente" 292
"on" "nasal" "lente" 312
"on" "nasal" "lente" 371
"on" "nasal" "lente" 334
"on" "nasal" "lente" 269
"on" "nasal" "lente" 300
"on" "nasal" "lente" 375
"on" "nasal" "lente" 308
"on" "nasal" "lente" 266
"on" "nasal" "lente" 256
"on" "nasal" "lente" 289
