"voyelle" "partie" "vitesse" "durée" "groupe"
"ain" "oral" "normal" 68 "group1"
"ain" "oral" "normal" 61 "group1"
"ain" "oral" "normal" 65 "group1"
"ain" "oral" "normal" 46 "group1"
"ain" "oral" "normal" 57 "group1"
"ain" "oral" "normal" 80 "group1"
"ain" "oral" "normal" 67 "group1"
"ain" "oral" "normal" 52 "group1"
"ain" "oral" "normal" 66 "group1"
"ain" "oral" "normal" 61 "group1"
"ain" "oral" "normal" 62 "group1"
"ain" "oral" "normal" 73 "group1"
"ain" "oral" "normal" 69 "group1"
"ain" "oral" "normal" 73 "group1"
"ain" "oral" "normal" 62 "group1"
"ain" "oral" "normal" 44 "group1"
"ain" "oral" "normal" 81 "group1"
"ain" "oral" "normal" 68 "group1"
"ain" "oral" "normal" 68 "group1"
"ain" "oral" "normal" 68 "group1"
"ain" "nasal" "normal" 143 "group1"
"ain" "nasal" "normal" 170 "group1"
"ain" "nasal" "normal" 194 "group1"
"ain" "nasal" "normal" 110 "group1"
"ain" "nasal" "normal" 135 "group1"
"ain" "nasal" "normal" 205 "group1"
"ain" "nasal" "normal" 192 "group1"
"ain" "nasal" "normal" 197 "group1"
"ain" "nasal" "normal" 122 "group1"
"ain" "nasal" "normal" 152 "group1"
"ain" "nasal" "normal" 140 "group1"
"ain" "nasal" "normal" 201 "group1"
"ain" "nasal" "normal" 103 "group1"
"ain" "nasal" "normal" 97 "group1"
"ain" "nasal" "normal" 155 "group1"
"ain" "nasal" "normal" 148 "group1"
"ain" "nasal" "normal" 177 "group1"
"ain" "nasal" "normal" 169 "group1"
"ain" "nasal" "normal" 146 "group1"
"ain" "nasal" "normal" 126 "group1"
"an" "oral" "normal" 70 "group1"
"an" "oral" "normal" 87 "group1"
"an" "oral" "normal" 121 "group1"
"an" "oral" "normal" 68 "group1"
"an" "oral" "normal" 50 "group1"
"an" "oral" "normal" 65 "group1"
"an" "oral" "normal" 69 "group1"
"an" "oral" "normal" 79 "group1"
"an" "oral" "normal" 49 "group1"
"an" "oral" "normal" 50 "group1"
"an" "oral" "normal" 47 "group1"
"an" "oral" "normal" 116 "group1"
"an" "oral" "normal" 55 "group1"
"an" "oral" "normal" 38 "group1"
"an" "oral" "normal" 81 "group1"
"an" "oral" "normal" 71 "group1"
"an" "oral" "normal" 64 "group1"
"an" "oral" "normal" 72 "group1"
"an" "oral" "normal" 33 "group1"
"an" "oral" "normal" 46 "group1"
"an" "nasal" "normal" 84 "group1"
"an" "nasal" "normal" 205 "group1"
"an" "nasal" "normal" 156 "group1"
"an" "nasal" "normal" 181 "group1"
"an" "nasal" "normal" 95 "group1"
"an" "nasal" "normal" 131 "group1"
"an" "nasal" "normal" 132 "group1"
"an" "nasal" "normal" 173 "group1"
"an" "nasal" "normal" 138 "group1"
"an" "nasal" "normal" 117 "group1"
"an" "nasal" "normal" 152 "group1"
"an" "nasal" "normal" 148 "group1"
"an" "nasal" "normal" 147 "group1"
"an" "nasal" "normal" 185 "group1"
"an" "nasal" "normal" 67 "group1"
"an" "nasal" "normal" 152 "group1"
"an" "nasal" "normal" 133 "group1"
"an" "nasal" "normal" 104 "group1"
"an" "nasal" "normal" 120 "group1"
"an" "nasal" "normal" 180 "group1"
"on" "oral" "normal" 104 "group1"
"on" "oral" "normal" 130 "group1"
"on" "oral" "normal" 79 "group1"
"on" "oral" "normal" 47 "group1"
"on" "oral" "normal" 50 "group1"
"on" "oral" "normal" 14 "group1"
"on" "oral" "normal" 56 "group1"
"on" "oral" "normal" -59 "group1"
"on" "oral" "normal" 75 "group1"
"on" "oral" "normal" 53 "group1"
"on" "oral" "normal" 54 "group1"
"on" "oral" "normal" 90 "group1"
"on" "oral" "normal" 53 "group1"
"on" "oral" "normal" 58 "group1"
"on" "oral" "normal" 65 "group1"
"on" "oral" "normal" 111 "group1"
"on" "oral" "normal" -22 "group1"
"on" "oral" "normal" 90 "group1"
"on" "oral" "normal" 62 "group1"
"on" "oral" "normal" 44 "group1"
"on" "nasal" "normal" 141 "group1"
"on" "nasal" "normal" 215 "group1"
"on" "nasal" "normal" 179 "group1"
"on" "nasal" "normal" 158 "group1"
"on" "nasal" "normal" 155 "group1"
"on" "nasal" "normal" 164 "group1"
"on" "nasal" "normal" 181 "group1"
"on" "nasal" "normal" 176 "group1"
"on" "nasal" "normal" 245 "group1"
"on" "nasal" "normal" 210 "group1"
"on" "nasal" "normal" 204 "group1"
"on" "nasal" "normal" 151 "group1"
"on" "nasal" "normal" 131 "group1"
"on" "nasal" "normal" 170 "group1"
"on" "nasal" "normal" 148 "group1"
"on" "nasal" "normal" 167 "group1"
"on" "nasal" "normal" 246 "group1"
"on" "nasal" "normal" 161 "group1"
"on" "nasal" "normal" 190 "group1"
"on" "nasal" "normal" 111 "group1"
"ain" "oral" "normal" 52 "group2"
"ain" "oral" "normal" 63 "group2"
"ain" "oral" "normal" 48 "group2"
"ain" "oral" "normal" 66 "group2"
"ain" "oral" "normal" 51 "group2"
"ain" "oral" "normal" 24 "group2"
"ain" "oral" "normal" 57 "group2"
"ain" "oral" "normal" 68 "group2"
"ain" "oral" "normal" 77 "group2"
"ain" "oral" "normal" 50 "group2"
"ain" "oral" "normal" 63 "group2"
"ain" "oral" "normal" 81 "group2"
"ain" "oral" "normal" 63 "group2"
"ain" "oral" "normal" 77 "group2"
"ain" "oral" "normal" 51 "group2"
"ain" "oral" "normal" 39 "group2"
"ain" "oral" "normal" 58 "group2"
"ain" "oral" "normal" 90 "group2"
"ain" "oral" "normal" 65 "group2"
"ain" "oral" "normal" 54 "group2"
"ain" "nasal" "normal" 95 "group2"
"ain" "nasal" "normal" 165 "group2"
"ain" "nasal" "normal" 147 "group2"
"ain" "nasal" "normal" 124 "group2"
"ain" "nasal" "normal" 158 "group2"
"ain" "nasal" "normal" 162 "group2"
"ain" "nasal" "normal" 127 "group2"
"ain" "nasal" "normal" 175 "group2"
"ain" "nasal" "normal" 173 "group2"
"ain" "nasal" "normal" 100 "group2"
"ain" "nasal" "normal" 151 "group2"
"ain" "nasal" "normal" 180 "group2"
"ain" "nasal" "normal" 167 "group2"
"ain" "nasal" "normal" 155 "group2"
"ain" "nasal" "normal" 193 "group2"
"ain" "nasal" "normal" 170 "group2"
"ain" "nasal" "normal" 142 "group2"
"ain" "nasal" "normal" 156 "group2"
"ain" "nasal" "normal" 177 "group2"
"ain" "nasal" "normal" 117 "group2"
"an" "oral" "normal" 65 "group2"
"an" "oral" "normal" 89 "group2"
"an" "oral" "normal" 95 "group2"
"an" "oral" "normal" 86 "group2"
"an" "oral" "normal" 67 "group2"
"an" "oral" "normal" 80 "group2"
"an" "oral" "normal" 42 "group2"
"an" "oral" "normal" 34 "group2"
"an" "oral" "normal" 44 "group2"
"an" "oral" "normal" 97 "group2"
"an" "oral" "normal" 76 "group2"
"an" "oral" "normal" 60 "group2"
"an" "oral" "normal" 76 "group2"
"an" "oral" "normal" 22 "group2"
"an" "oral" "normal" 44 "group2"
