"voyelle" "partie" "vitesse" "durée"
"ain" "oral" "normal" 52
"ain" "oral" "normal" 63
"ain" "oral" "normal" 48
"ain" "oral" "normal" 66
"ain" "oral" "normal" 51
"ain" "oral" "normal" 24
"ain" "oral" "normal" 57
"ain" "oral" "normal" 68
"ain" "oral" "normal" 77
"ain" "oral" "normal" 50
"ain" "oral" "normal" 63
"ain" "oral" "normal" 81
"ain" "oral" "normal" 63
"ain" "oral" "normal" 77
"ain" "oral" "normal" 51
"ain" "oral" "normal" 39
"ain" "oral" "normal" 58
"ain" "oral" "normal" 90
"ain" "oral" "normal" 65
"ain" "oral" "normal" 54
"ain" "nasal" "normal" 95
"ain" "nasal" "normal" 165
"ain" "nasal" "normal" 147
"ain" "nasal" "normal" 124
"ain" "nasal" "normal" 158
"ain" "nasal" "normal" 162
"ain" "nasal" "normal" 127
"ain" "nasal" "normal" 175
"ain" "nasal" "normal" 173
"ain" "nasal" "normal" 100
"ain" "nasal" "normal" 151
"ain" "nasal" "normal" 180
"ain" "nasal" "normal" 167
"ain" "nasal" "normal" 155
"ain" "nasal" "normal" 193
"ain" "nasal" "normal" 170
"ain" "nasal" "normal" 142
"ain" "nasal" "normal" 156
"ain" "nasal" "normal" 177
"ain" "nasal" "normal" 117
"an" "oral" "normal" 65
"an" "oral" "normal" 89
"an" "oral" "normal" 95
"an" "oral" "normal" 86
"an" "oral" "normal" 67
"an" "oral" "normal" 80
"an" "oral" "normal" 42
"an" "oral" "normal" 34
"an" "oral" "normal" 44
"an" "oral" "normal" 97
"an" "oral" "normal" 76
"an" "oral" "normal" 60
"an" "oral" "normal" 76
"an" "oral" "normal" 22
"an" "oral" "normal" 44
"an" "oral" "normal" 57
"an" "oral" "normal" 110
"an" "oral" "normal" 58
"an" "oral" "normal" 61
"an" "oral" "normal" 47
"an" "nasal" "normal" 199
"an" "nasal" "normal" 137
"an" "nasal" "normal" 161
"an" "nasal" "normal" 112
"an" "nasal" "normal" 202
"an" "nasal" "normal" 158
"an" "nasal" "normal" 128
"an" "nasal" "normal" 164
"an" "nasal" "normal" 205
"an" "nasal" "normal" 147
"an" "nasal" "normal" 146
"an" "nasal" "normal" 131
"an" "nasal" "normal" 211
"an" "nasal" "normal" 114
"an" "nasal" "normal" 171
"an" "nasal" "normal" 200
"an" "nasal" "normal" 141
"an" "nasal" "normal" 148
"an" "nasal" "normal" 146
"an" "nasal" "normal" 146
"on" "oral" "normal" 90
"on" "oral" "normal" 87
"on" "oral" "normal" 95
"on" "oral" "normal" 116
"on" "oral" "normal" 37
"on" "oral" "normal" 57
"on" "oral" "normal" 10
"on" "oral" "normal" 63
"on" "oral" "normal" 100
"on" "oral" "normal" 78
"on" "oral" "normal" 30
"on" "oral" "normal" 86
"on" "oral" "normal" 131
"on" "oral" "normal" 122
"on" "oral" "normal" 66
"on" "oral" "normal" 90
"on" "oral" "normal" 44
"on" "oral" "normal" 91
"on" "oral" "normal" 75
"on" "oral" "normal" 72
"on" "nasal" "normal" 114
"on" "nasal" "normal" 150
"on" "nasal" "normal" 159
"on" "nasal" "normal" 135
"on" "nasal" "normal" 187
"on" "nasal" "normal" 166
"on" "nasal" "normal" 240
"on" "nasal" "normal" 135
"on" "nasal" "normal" 130
"on" "nasal" "normal" 191
"on" "nasal" "normal" 198
"on" "nasal" "normal" 144
"on" "nasal" "normal" 153
"on" "nasal" "normal" 142
"on" "nasal" "normal" 86
"on" "nasal" "normal" 84
"on" "nasal" "normal" 115
"on" "nasal" "normal" 98
"on" "nasal" "normal" 166
"on" "nasal" "normal" 122
