"voyelle" "partie" "vitesse" "durée" "groupe"
"ain" "oral" "lente" 93 "group1"
"ain" "oral" "lente" 91 "group1"
"ain" "oral" "lente" 81 "group1"
"ain" "oral" "lente" 103 "group1"
"ain" "oral" "lente" 79 "group1"
"ain" "oral" "lente" 67 "group1"
"ain" "oral" "lente" 72 "group1"
"ain" "oral" "lente" 76 "group1"
"ain" "oral" "lente" 75 "group1"
"ain" "oral" "lente" 72 "group1"
"ain" "oral" "lente" 77 "group1"
"ain" "oral" "lente" 80 "group1"
"ain" "oral" "lente" 96 "group1"
"ain" "oral" "lente" 50 "group1"
"ain" "oral" "lente" 91 "group1"
"ain" "oral" "lente" 95 "group1"
"ain" "oral" "lente" 91 "group1"
"ain" "oral" "lente" 80 "group1"
"ain" "oral" "lente" 58 "group1"
"ain" "oral" "lente" 85 "group1"
"ain" "oral" "lente" 102 "group1"
"ain" "oral" "lente" 91 "group1"
"ain" "oral" "lente" 67 "group1"
"ain" "oral" "lente" 86 "group1"
"ain" "oral" "lente" 81 "group1"
"ain" "oral" "lente" 74 "group1"
"ain" "oral" "lente" 73 "group1"
"ain" "oral" "lente" 87 "group1"
"ain" "oral" "lente" 81 "group1"
"ain" "oral" "lente" 79 "group1"
"ain" "oral" "lente" 67 "group1"
"ain" "oral" "lente" 91 "group1"
"ain" "oral" "lente" 57 "group1"
"ain" "oral" "lente" 93 "group1"
"ain" "oral" "lente" 79 "group1"
"ain" "oral" "lente" 88 "group1"
"ain" "oral" "lente" 71 "group1"
"ain" "oral" "lente" 63 "group1"
"ain" "oral" "lente" 93 "group1"
"ain" "oral" "lente" 65 "group1"
"ain" "oral" "lente" 67 "group1"
"ain" "oral" "lente" 79 "group1"
"ain" "oral" "lente" 76 "group1"
"ain" "oral" "lente" 82 "group1"
"ain" "oral" "lente" 94 "group1"
"ain" "oral" "lente" 65 "group1"
"ain" "oral" "lente" 74 "group1"
"ain" "oral" "lente" 86 "group1"
"ain" "oral" "lente" 59 "group1"
"ain" "oral" "lente" 61 "group1"
"ain" "oral" "lente" 79 "group1"
"ain" "oral" "lente" 79 "group1"
"ain" "oral" "lente" 76 "group1"
"ain" "oral" "lente" 67 "group1"
"ain" "oral" "lente" 88 "group1"
"ain" "oral" "lente" 106 "group1"
