"voyelle" "partie" "vitesse" "durée"
"ain" "oral" "lente" 63
"ain" "oral" "lente" 87
"ain" "oral" "lente" 85
"ain" "oral" "lente" 63
"ain" "oral" "lente" 73
"ain" "oral" "lente" 87
"ain" "oral" "lente" 90
"ain" "oral" "lente" 64
"ain" "oral" "lente" 69
"ain" "oral" "lente" 69
"ain" "oral" "lente" 81
"ain" "oral" "lente" 77
"ain" "oral" "lente" 96
"ain" "oral" "lente" 61
"ain" "oral" "lente" 45
"ain" "oral" "lente" 87
"ain" "oral" "lente" 84
"ain" "oral" "lente" 61
"ain" "oral" "lente" 76
"ain" "oral" "lente" 82
"ain" "oral" "lente" 70
"ain" "oral" "lente" 75
"ain" "oral" "lente" 61
"ain" "oral" "lente" 78
"ain" "oral" "lente" 68
"ain" "oral" "lente" 68
"ain" "oral" "lente" 69
"ain" "oral" "lente" 62
"ain" "oral" "lente" 68
"ain" "oral" "lente" 82
"ain" "oral" "lente" 63
"ain" "oral" "lente" 52
"ain" "oral" "lente" 73
"ain" "oral" "lente" 68
"ain" "oral" "lente" 89
"ain" "oral" "lente" 81
"ain" "oral" "lente" 81
"ain" "oral" "lente" 69
"ain" "oral" "lente" 61
"ain" "oral" "lente" 84
"ain" "oral" "lente" 79
"ain" "oral" "lente" 88
"ain" "oral" "lente" 87
"ain" "oral" "lente" 78
"ain" "oral" "lente" 86
"ain" "oral" "lente" 61
"ain" "oral" "lente" 103
"ain" "oral" "lente" 89
"ain" "oral" "lente" 89
"ain" "oral" "lente" 60
"ain" "oral" "lente" 80
"ain" "oral" "lente" 110
"ain" "oral" "lente" 85
"ain" "oral" "lente" 57
"ain" "oral" "lente" 62
"ain" "oral" "lente" 75
"ain" "oral" "lente" 82
"ain" "oral" "lente" 76
"ain" "oral" "lente" 75
"ain" "oral" "lente" 81
"ain" "nasal" "lente" 259
"ain" "nasal" "lente" 258
"ain" "nasal" "lente" 280
"ain" "nasal" "lente" 254
"ain" "nasal" "lente" 248
"ain" "nasal" "lente" 282
"ain" "nasal" "lente" 248
"ain" "nasal" "lente" 363
"ain" "nasal" "lente" 282
"ain" "nasal" "lente" 281
"ain" "nasal" "lente" 314
"ain" "nasal" "lente" 301
"ain" "nasal" "lente" 311
"ain" "nasal" "lente" 303
"ain" "nasal" "lente" 301
"ain" "nasal" "lente" 324
"ain" "nasal" "lente" 337
"ain" "nasal" "lente" 259
"ain" "nasal" "lente" 290
"ain" "nasal" "lente" 278
"ain" "nasal" "lente" 310
"ain" "nasal" "lente" 245
"ain" "nasal" "lente" 314
"ain" "nasal" "lente" 268
"ain" "nasal" "lente" 316
"ain" "nasal" "lente" 277
"ain" "nasal" "lente" 298
"ain" "nasal" "lente" 316
"ain" "nasal" "lente" 250
"ain" "nasal" "lente" 302
"ain" "nasal" "lente" 237
"ain" "nasal" "lente" 279
"ain" "nasal" "lente" 285
"ain" "nasal" "lente" 322
"ain" "nasal" "lente" 317
"ain" "nasal" "lente" 268
"ain" "nasal" "lente" 295
"ain" "nasal" "lente" 265
"ain" "nasal" "lente" 239
"ain" "nasal" "lente" 238
"ain" "nasal" "lente" 289
"ain" "nasal" "lente" 260
"ain" "nasal" "lente" 276
"ain" "nasal" "lente" 247
"ain" "nasal" "lente" 284
"ain" "nasal" "lente" 317
"ain" "nasal" "lente" 273
"ain" "nasal" "lente" 236
"ain" "nasal" "lente" 248
"ain" "nasal" "lente" 234
"ain" "nasal" "lente" 288
"ain" "nasal" "lente" 265
"ain" "nasal" "lente" 305
"ain" "nasal" "lente" 206
"ain" "nasal" "lente" 298
"ain" "nasal" "lente" 331
"ain" "nasal" "lente" 352
"ain" "nasal" "lente" 303
"ain" "nasal" "lente" 251
"ain" "nasal" "lente" 270
"an" "oral" "lente" 159
"an" "oral" "lente" 151
"an" "oral" "lente" 139
"an" "oral" "lente" 174
"an" "oral" "lente" 150
"an" "oral" "lente" 143
"an" "oral" "lente" 125
"an" "oral" "lente" 150
"an" "oral" "lente" 185
"an" "oral" "lente" 176
"an" "oral" "lente" 136
"an" "oral" "lente" 121
"an" "oral" "lente" 131
"an" "oral" "lente" 148
"an" "oral" "lente" 149
"an" "oral" "lente" 138
"an" "oral" "lente" 129
"an" "oral" "lente" 131
"an" "oral" "lente" 167
"an" "oral" "lente" 159
"an" "oral" "lente" 121
"an" "oral" "lente" 135
"an" "oral" "lente" 140
"an" "oral" "lente" 143
"an" "oral" "lente" 163
"an" "oral" "lente" 127
"an" "oral" "lente" 182
"an" "oral" "lente" 144
"an" "oral" "lente" 164
"an" "oral" "lente" 156
"an" "oral" "lente" 144
"an" "oral" "lente" 150
"an" "oral" "lente" 160
"an" "oral" "lente" 159
"an" "oral" "lente" 182
"an" "oral" "lente" 122
"an" "oral" "lente" 182
"an" "oral" "lente" 169
"an" "oral" "lente" 172
"an" "oral" "lente" 151
"an" "oral" "lente" 159
"an" "oral" "lente" 147
"an" "oral" "lente" 152
"an" "oral" "lente" 150
"an" "oral" "lente" 138
"an" "oral" "lente" 116
"an" "oral" "lente" 132
"an" "oral" "lente" 146
"an" "oral" "lente" 156
"an" "oral" "lente" 148
"an" "oral" "lente" 133
"an" "oral" "lente" 156
"an" "oral" "lente" 133
"an" "oral" "lente" 177
"an" "oral" "lente" 185
"an" "oral" "lente" 154
"an" "oral" "lente" 127
"an" "oral" "lente" 145
"an" "oral" "lente" 113
"an" "oral" "lente" 161
"an" "nasal" "lente" 307
"an" "nasal" "lente" 272
"an" "nasal" "lente" 239
"an" "nasal" "lente" 301
"an" "nasal" "lente" 256
"an" "nasal" "lente" 340
"an" "nasal" "lente" 304
"an" "nasal" "lente" 270
"an" "nasal" "lente" 267
"an" "nasal" "lente" 218
"an" "nasal" "lente" 284
"an" "nasal" "lente" 328
"an" "nasal" "lente" 216
"an" "nasal" "lente" 283
"an" "nasal" "lente" 331
"an" "nasal" "lente" 310
"an" "nasal" "lente" 272
"an" "nasal" "lente" 308
"an" "nasal" "lente" 205
"an" "nasal" "lente" 269
"an" "nasal" "lente" 226
"an" "nasal" "lente" 318
"an" "nasal" "lente" 260
"an" "nasal" "lente" 318
"an" "nasal" "lente" 289
"an" "nasal" "lente" 321
"an" "nasal" "lente" 335
"an" "nasal" "lente" 254
"an" "nasal" "lente" 334
"an" "nasal" "lente" 318
"an" "nasal" "lente" 344
"an" "nasal" "lente" 266
"an" "nasal" "lente" 290
"an" "nasal" "lente" 374
"an" "nasal" "lente" 284
"an" "nasal" "lente" 325
"an" "nasal" "lente" 296
"an" "nasal" "lente" 237
"an" "nasal" "lente" 263
"an" "nasal" "lente" 206
"an" "nasal" "lente" 292
"an" "nasal" "lente" 215
"an" "nasal" "lente" 347
"an" "nasal" "lente" 286
"an" "nasal" "lente" 252
"an" "nasal" "lente" 321
"an" "nasal" "lente" 223
"an" "nasal" "lente" 260
"an" "nasal" "lente" 300
"an" "nasal" "lente" 204
"an" "nasal" "lente" 262
"an" "nasal" "lente" 231
"an" "nasal" "lente" 309
"an" "nasal" "lente" 242
"an" "nasal" "lente" 260
"an" "nasal" "lente" 302
"an" "nasal" "lente" 277
"an" "nasal" "lente" 342
"an" "nasal" "lente" 260
"an" "nasal" "lente" 340
"on" "oral" "lente" 173
"on" "oral" "lente" 171
"on" "oral" "lente" 149
"on" "oral" "lente" 171
"on" "oral" "lente" 227
"on" "oral" "lente" 118
"on" "oral" "lente" 103
"on" "oral" "lente" 198
"on" "oral" "lente" 145
"on" "oral" "lente" 157
"on" "oral" "lente" 172
"on" "oral" "lente" 171
"on" "oral" "lente" 188
"on" "oral" "lente" 142
"on" "oral" "lente" 141
"on" "oral" "lente" 206
"on" "oral" "lente" 161
"on" "oral" "lente" 206
"on" "oral" "lente" 156
"on" "oral" "lente" 173
"on" "oral" "lente" 129
"on" "oral" "lente" 176
"on" "oral" "lente" 186
"on" "oral" "lente" 209
"on" "oral" "lente" 203
"on" "oral" "lente" 120
"on" "oral" "lente" 179
"on" "oral" "lente" 165
"on" "oral" "lente" 169
"on" "oral" "lente" 121
"on" "oral" "lente" 188
"on" "oral" "lente" 166
"on" "oral" "lente" 143
"on" "oral" "lente" 116
"on" "oral" "lente" 167
"on" "oral" "lente" 178
"on" "oral" "lente" 182
"on" "oral" "lente" 164
"on" "oral" "lente" 180
"on" "oral" "lente" 145
"on" "oral" "lente" 176
"on" "oral" "lente" 214
"on" "oral" "lente" 254
"on" "oral" "lente" 127
"on" "oral" "lente" 180
"on" "oral" "lente" 119
"on" "oral" "lente" 204
"on" "oral" "lente" 112
"on" "oral" "lente" 181
"on" "oral" "lente" 185
"on" "oral" "lente" 166
"on" "oral" "lente" 164
"on" "oral" "lente" 173
"on" "oral" "lente" 173
"on" "oral" "lente" 151
"on" "oral" "lente" 164
"on" "oral" "lente" 160
"on" "oral" "lente" 140
"on" "oral" "lente" 159
"on" "oral" "lente" 182
"on" "nasal" "lente" 294
"on" "nasal" "lente" 293
"on" "nasal" "lente" 298
"on" "nasal" "lente" 285
"on" "nasal" "lente" 306
"on" "nasal" "lente" 270
"on" "nasal" "lente" 289
"on" "nasal" "lente" 347
"on" "nasal" "lente" 285
"on" "nasal" "lente" 306
"on" "nasal" "lente" 268
"on" "nasal" "lente" 285
"on" "nasal" "lente" 373
"on" "nasal" "lente" 317
"on" "nasal" "lente" 299
"on" "nasal" "lente" 272
"on" "nasal" "lente" 293
"on" "nasal" "lente" 264
"on" "nasal" "lente" 262
"on" "nasal" "lente" 305
"on" "nasal" "lente" 303
"on" "nasal" "lente" 290
"on" "nasal" "lente" 297
"on" "nasal" "lente" 300
"on" "nasal" "lente" 259
"on" "nasal" "lente" 331
"on" "nasal" "lente" 293
"on" "nasal" "lente" 320
"on" "nasal" "lente" 267
"on" "nasal" "lente" 270
"on" "nasal" "lente" 290
"on" "nasal" "lente" 296
"on" "nasal" "lente" 266
"on" "nasal" "lente" 285
"on" "nasal" "lente" 326
"on" "nasal" "lente" 284
"on" "nasal" "lente" 307
"on" "nasal" "lente" 293
"on" "nasal" "lente" 301
"on" "nasal" "lente" 291
"on" "nasal" "lente" 306
"on" "nasal" "lente" 300
"on" "nasal" "lente" 227
"on" "nasal" "lente" 282
"on" "nasal" "lente" 280
"on" "nasal" "lente" 310
"on" "nasal" "lente" 299
"on" "nasal" "lente" 284
"on" "nasal" "lente" 272
"on" "nasal" "lente" 267
"on" "nasal" "lente" 254
"on" "nasal" "lente" 323
"on" "nasal" "lente" 324
"on" "nasal" "lente" 290
"on" "nasal" "lente" 316
"on" "nasal" "lente" 269
"on" "nasal" "lente" 288
"on" "nasal" "lente" 321
"on" "nasal" "lente" 285
"on" "nasal" "lente" 293
