"voyelle" "partie" "vitesse" "durée" "groupe"
"ain" "oral" "normal" 34 "good"
"ain" "oral" "normal" 48 "good"
"ain" "oral" "normal" 38 "good"
"ain" "oral" "normal" 42 "good"
"ain" "oral" "normal" 38 "good"
"ain" "oral" "normal" 49 "good"
"ain" "oral" "normal" 44 "good"
"ain" "oral" "normal" 51 "good"
"ain" "oral" "normal" 44 "good"
"ain" "oral" "normal" 47 "good"
"ain" "oral" "normal" 40 "good"
"ain" "oral" "normal" 42 "good"
"ain" "oral" "normal" 46 "good"
"ain" "oral" "normal" 44 "good"
"ain" "oral" "normal" 49 "good"
"ain" "oral" "normal" 40 "good"
"ain" "oral" "normal" 53 "good"
"ain" "oral" "normal" 53 "good"
"ain" "oral" "normal" 36 "good"
"ain" "oral" "normal" 43 "good"
"ain" "oral" "normal" 39 "good"
"ain" "oral" "normal" 46 "good"
"ain" "oral" "normal" 31 "good"
"ain" "oral" "normal" 52 "good"
"ain" "oral" "normal" 38 "good"
"ain" "oral" "normal" 32 "good"
"ain" "oral" "normal" 52 "good"
"ain" "oral" "normal" 46 "good"
"ain" "oral" "normal" 43 "good"
"ain" "oral" "normal" 35 "good"
"ain" "oral" "normal" 40 "good"
"ain" "oral" "normal" 26 "good"
"ain" "oral" "normal" 45 "good"
"ain" "oral" "normal" 36 "good"
"ain" "oral" "normal" 44 "good"
"ain" "oral" "normal" 45 "good"
"ain" "oral" "normal" 44 "good"
"ain" "oral" "normal" 36 "good"
"ain" "oral" "normal" 40 "good"
"ain" "oral" "normal" 50 "good"
"ain" "oral" "normal" 47 "good"
"ain" "oral" "normal" 42 "good"
"ain" "oral" "normal" 39 "good"
"ain" "oral" "normal" 35 "good"
"ain" "oral" "normal" 46 "good"
"ain" "oral" "normal" 50 "good"
"ain" "oral" "normal" 50 "good"
"ain" "oral" "normal" 45 "good"
"ain" "oral" "normal" 50 "good"
"ain" "oral" "normal" 44 "good"
"ain" "oral" "normal" 47 "good"
"ain" "oral" "normal" 50 "good"
"ain" "oral" "normal" 38 "good"
"ain" "oral" "normal" 48 "good"
"ain" "oral" "normal" 42 "good"
"ain" "oral" "normal" 43 "good"
"ain" "oral" "normal" 40 "good"
"ain" "oral" "normal" 42 "good"
"ain" "oral" "normal" 40 "good"
"ain" "oral" "normal" 43 "good"
"ain" "nasal" "normal" 193 "good"
"ain" "nasal" "normal" 181 "good"
"ain" "nasal" "normal" 170 "good"
"ain" "nasal" "normal" 148 "good"
"ain" "nasal" "normal" 170 "good"
"ain" "nasal" "normal" 192 "good"
"ain" "nasal" "normal" 194 "good"
"ain" "nasal" "normal" 136 "good"
"ain" "nasal" "normal" 164 "good"
"ain" "nasal" "normal" 168 "good"
"ain" "nasal" "normal" 191 "good"
"ain" "nasal" "normal" 142 "good"
"ain" "nasal" "normal" 166 "good"
"ain" "nasal" "normal" 161 "good"
"ain" "nasal" "normal" 155 "good"
"ain" "nasal" "normal" 184 "good"
"ain" "nasal" "normal" 181 "good"
"ain" "nasal" "normal" 189 "good"
"ain" "nasal" "normal" 163 "good"
"ain" "nasal" "normal" 154 "good"
"ain" "nasal" "normal" 181 "good"
"ain" "nasal" "normal" 132 "good"
"ain" "nasal" "normal" 172 "good"
"ain" "nasal" "normal" 168 "good"
"ain" "nasal" "normal" 161 "good"
"ain" "nasal" "normal" 146 "good"
"ain" "nasal" "normal" 161 "good"
"ain" "nasal" "normal" 201 "good"
"ain" "nasal" "normal" 161 "good"
"ain" "nasal" "normal" 180 "good"
"ain" "nasal" "normal" 133 "good"
"ain" "nasal" "normal" 192 "good"
"ain" "nasal" "normal" 162 "good"
"ain" "nasal" "normal" 161 "good"
"ain" "nasal" "normal" 187 "good"
"ain" "nasal" "normal" 196 "good"
"ain" "nasal" "normal" 167 "good"
"ain" "nasal" "normal" 155 "good"
"ain" "nasal" "normal" 171 "good"
"ain" "nasal" "normal" 209 "good"
"ain" "nasal" "normal" 178 "good"
"ain" "nasal" "normal" 144 "good"
"ain" "nasal" "normal" 187 "good"
"ain" "nasal" "normal" 157 "good"
"ain" "nasal" "normal" 168 "good"
"ain" "nasal" "normal" 201 "good"
"ain" "nasal" "normal" 191 "good"
"ain" "nasal" "normal" 181 "good"
"ain" "nasal" "normal" 169 "good"
"ain" "nasal" "normal" 177 "good"
"ain" "nasal" "normal" 164 "good"
"ain" "nasal" "normal" 162 "good"
"ain" "nasal" "normal" 175 "good"
"ain" "nasal" "normal" 159 "good"
"ain" "nasal" "normal" 206 "good"
"ain" "nasal" "normal" 158 "good"
"ain" "nasal" "normal" 160 "good"
"ain" "nasal" "normal" 183 "good"
"ain" "nasal" "normal" 153 "good"
"ain" "nasal" "normal" 200 "good"
"an" "oral" "normal" 60 "good"
"an" "oral" "normal" 55 "good"
"an" "oral" "normal" 37 "good"
"an" "oral" "normal" 40 "good"
"an" "oral" "normal" 53 "good"
"an" "oral" "normal" 30 "good"
"an" "oral" "normal" 55 "good"
"an" "oral" "normal" 26 "good"
"an" "oral" "normal" 53 "good"
"an" "oral" "normal" 34 "good"
"an" "oral" "normal" 60 "good"
"an" "oral" "normal" 51 "good"
"an" "oral" "normal" 38 "good"
"an" "oral" "normal" 54 "good"
"an" "oral" "normal" 59 "good"
"an" "oral" "normal" 46 "good"
"an" "oral" "normal" 47 "good"
"an" "oral" "normal" 39 "good"
"an" "oral" "normal" 73 "good"
"an" "oral" "normal" 39 "good"
"an" "oral" "normal" 57 "good"
"an" "oral" "normal" 52 "good"
"an" "oral" "normal" 48 "good"
"an" "oral" "normal" 58 "good"
"an" "oral" "normal" 48 "good"
"an" "oral" "normal" 48 "good"
"an" "oral" "normal" 45 "good"
"an" "oral" "normal" 54 "good"
"an" "oral" "normal" 52 "good"
"an" "oral" "normal" 57 "good"
"an" "oral" "normal" 55 "good"
"an" "oral" "normal" 51 "good"
"an" "oral" "normal" 65 "good"
"an" "oral" "normal" 39 "good"
"an" "oral" "normal" 45 "good"
"an" "oral" "normal" 62 "good"
"an" "oral" "normal" 46 "good"
"an" "oral" "normal" 39 "good"
"an" "oral" "normal" 46 "good"
"an" "oral" "normal" 41 "good"
"an" "oral" "normal" 49 "good"
"an" "oral" "normal" 45 "good"
"an" "oral" "normal" 41 "good"
"an" "oral" "normal" 54 "good"
"an" "oral" "normal" 64 "good"
"an" "oral" "normal" 45 "good"
"an" "oral" "normal" 31 "good"
"an" "oral" "normal" 49 "good"
"an" "oral" "normal" 54 "good"
"an" "oral" "normal" 52 "good"
"an" "oral" "normal" 43 "good"
"an" "oral" "normal" 55 "good"
"an" "oral" "normal" 49 "good"
"an" "oral" "normal" 38 "good"
"an" "oral" "normal" 43 "good"
"an" "oral" "normal" 44 "good"
"an" "oral" "normal" 55 "good"
"an" "oral" "normal" 61 "good"
"an" "oral" "normal" 49 "good"
"an" "oral" "normal" 51 "good"
"an" "nasal" "normal" 121 "good"
"an" "nasal" "normal" 198 "good"
"an" "nasal" "normal" 151 "good"
"an" "nasal" "normal" 161 "good"
"an" "nasal" "normal" 142 "good"
"an" "nasal" "normal" 174 "good"
"an" "nasal" "normal" 161 "good"
"an" "nasal" "normal" 164 "good"
"an" "nasal" "normal" 122 "good"
"an" "nasal" "normal" 169 "good"
"an" "nasal" "normal" 186 "good"
"an" "nasal" "normal" 122 "good"
"an" "nasal" "normal" 164 "good"
"an" "nasal" "normal" 147 "good"
"an" "nasal" "normal" 115 "good"
"an" "nasal" "normal" 179 "good"
"an" "nasal" "normal" 171 "good"
"an" "nasal" "normal" 160 "good"
"an" "nasal" "normal" 143 "good"
"an" "nasal" "normal" 214 "good"
"an" "nasal" "normal" 185 "good"
"an" "nasal" "normal" 162 "good"
"an" "nasal" "normal" 202 "good"
"an" "nasal" "normal" 187 "good"
"an" "nasal" "normal" 133 "good"
"an" "nasal" "normal" 113 "good"
"an" "nasal" "normal" 154 "good"
"an" "nasal" "normal" 184 "good"
"an" "nasal" "normal" 171 "good"
"an" "nasal" "normal" 135 "good"
"an" "nasal" "normal" 154 "good"
"an" "nasal" "normal" 140 "good"
"an" "nasal" "normal" 195 "good"
"an" "nasal" "normal" 121 "good"
"an" "nasal" "normal" 148 "good"
"an" "nasal" "normal" 192 "good"
"an" "nasal" "normal" 193 "good"
"an" "nasal" "normal" 146 "good"
"an" "nasal" "normal" 114 "good"
"an" "nasal" "normal" 142 "good"
"an" "nasal" "normal" 200 "good"
"an" "nasal" "normal" 159 "good"
"an" "nasal" "normal" 136 "good"
"an" "nasal" "normal" 180 "good"
"an" "nasal" "normal" 149 "good"
"an" "nasal" "normal" 182 "good"
"an" "nasal" "normal" 177 "good"
"an" "nasal" "normal" 149 "good"
"an" "nasal" "normal" 119 "good"
"an" "nasal" "normal" 174 "good"
"an" "nasal" "normal" 202 "good"
"an" "nasal" "normal" 167 "good"
