"voyelle" "partie" "vitesse" "durée"
"ain" "oral" "normal" 34
"ain" "oral" "normal" 48
"ain" "oral" "normal" 38
"ain" "oral" "normal" 42
"ain" "oral" "normal" 38
"ain" "oral" "normal" 49
"ain" "oral" "normal" 44
"ain" "oral" "normal" 51
"ain" "oral" "normal" 44
"ain" "oral" "normal" 47
"ain" "oral" "normal" 40
"ain" "oral" "normal" 42
"ain" "oral" "normal" 46
"ain" "oral" "normal" 44
"ain" "oral" "normal" 49
"ain" "oral" "normal" 40
"ain" "oral" "normal" 53
"ain" "oral" "normal" 53
"ain" "oral" "normal" 36
"ain" "oral" "normal" 43
"ain" "oral" "normal" 39
"ain" "oral" "normal" 46
"ain" "oral" "normal" 31
"ain" "oral" "normal" 52
"ain" "oral" "normal" 38
"ain" "oral" "normal" 32
"ain" "oral" "normal" 52
"ain" "oral" "normal" 46
"ain" "oral" "normal" 43
"ain" "oral" "normal" 35
"ain" "oral" "normal" 40
"ain" "oral" "normal" 26
"ain" "oral" "normal" 45
"ain" "oral" "normal" 36
"ain" "oral" "normal" 44
"ain" "oral" "normal" 45
"ain" "oral" "normal" 44
"ain" "oral" "normal" 36
"ain" "oral" "normal" 40
"ain" "oral" "normal" 50
"ain" "oral" "normal" 47
"ain" "oral" "normal" 42
"ain" "oral" "normal" 39
"ain" "oral" "normal" 35
"ain" "oral" "normal" 46
"ain" "oral" "normal" 50
"ain" "oral" "normal" 50
"ain" "oral" "normal" 45
"ain" "oral" "normal" 50
"ain" "oral" "normal" 44
"ain" "oral" "normal" 47
"ain" "oral" "normal" 50
"ain" "oral" "normal" 38
"ain" "oral" "normal" 48
"ain" "oral" "normal" 42
"ain" "oral" "normal" 43
"ain" "oral" "normal" 40
"ain" "oral" "normal" 42
"ain" "oral" "normal" 40
"ain" "oral" "normal" 43
"ain" "nasal" "normal" 193
"ain" "nasal" "normal" 181
"ain" "nasal" "normal" 170
"ain" "nasal" "normal" 148
"ain" "nasal" "normal" 170
"ain" "nasal" "normal" 192
"ain" "nasal" "normal" 194
"ain" "nasal" "normal" 136
"ain" "nasal" "normal" 164
"ain" "nasal" "normal" 168
"ain" "nasal" "normal" 191
"ain" "nasal" "normal" 142
"ain" "nasal" "normal" 166
"ain" "nasal" "normal" 161
"ain" "nasal" "normal" 155
"ain" "nasal" "normal" 184
"ain" "nasal" "normal" 181
"ain" "nasal" "normal" 189
"ain" "nasal" "normal" 163
"ain" "nasal" "normal" 154
"ain" "nasal" "normal" 181
"ain" "nasal" "normal" 132
"ain" "nasal" "normal" 172
"ain" "nasal" "normal" 168
"ain" "nasal" "normal" 161
"ain" "nasal" "normal" 146
"ain" "nasal" "normal" 161
"ain" "nasal" "normal" 201
"ain" "nasal" "normal" 161
"ain" "nasal" "normal" 180
"ain" "nasal" "normal" 133
"ain" "nasal" "normal" 192
"ain" "nasal" "normal" 162
"ain" "nasal" "normal" 161
"ain" "nasal" "normal" 187
"ain" "nasal" "normal" 196
"ain" "nasal" "normal" 167
"ain" "nasal" "normal" 155
"ain" "nasal" "normal" 171
"ain" "nasal" "normal" 209
"ain" "nasal" "normal" 178
"ain" "nasal" "normal" 144
"ain" "nasal" "normal" 187
"ain" "nasal" "normal" 157
"ain" "nasal" "normal" 168
"ain" "nasal" "normal" 201
"ain" "nasal" "normal" 191
"ain" "nasal" "normal" 181
"ain" "nasal" "normal" 169
"ain" "nasal" "normal" 177
"ain" "nasal" "normal" 164
"ain" "nasal" "normal" 162
"ain" "nasal" "normal" 175
"ain" "nasal" "normal" 159
"ain" "nasal" "normal" 206
"ain" "nasal" "normal" 158
"ain" "nasal" "normal" 160
"ain" "nasal" "normal" 183
"ain" "nasal" "normal" 153
"ain" "nasal" "normal" 200
"an" "oral" "normal" 60
"an" "oral" "normal" 55
"an" "oral" "normal" 37
"an" "oral" "normal" 40
"an" "oral" "normal" 53
"an" "oral" "normal" 30
"an" "oral" "normal" 55
"an" "oral" "normal" 26
"an" "oral" "normal" 53
"an" "oral" "normal" 34
"an" "oral" "normal" 60
"an" "oral" "normal" 51
"an" "oral" "normal" 38
"an" "oral" "normal" 54
"an" "oral" "normal" 59
"an" "oral" "normal" 46
"an" "oral" "normal" 47
"an" "oral" "normal" 39
"an" "oral" "normal" 73
"an" "oral" "normal" 39
"an" "oral" "normal" 57
"an" "oral" "normal" 52
"an" "oral" "normal" 48
"an" "oral" "normal" 58
"an" "oral" "normal" 48
"an" "oral" "normal" 48
"an" "oral" "normal" 45
"an" "oral" "normal" 54
"an" "oral" "normal" 52
"an" "oral" "normal" 57
"an" "oral" "normal" 55
"an" "oral" "normal" 51
"an" "oral" "normal" 65
"an" "oral" "normal" 39
"an" "oral" "normal" 45
"an" "oral" "normal" 62
"an" "oral" "normal" 46
"an" "oral" "normal" 39
"an" "oral" "normal" 46
"an" "oral" "normal" 41
"an" "oral" "normal" 49
"an" "oral" "normal" 45
"an" "oral" "normal" 41
"an" "oral" "normal" 54
"an" "oral" "normal" 64
"an" "oral" "normal" 45
"an" "oral" "normal" 31
"an" "oral" "normal" 49
"an" "oral" "normal" 54
"an" "oral" "normal" 52
"an" "oral" "normal" 43
"an" "oral" "normal" 55
"an" "oral" "normal" 49
"an" "oral" "normal" 38
"an" "oral" "normal" 43
"an" "oral" "normal" 44
"an" "oral" "normal" 55
"an" "oral" "normal" 61
"an" "oral" "normal" 49
"an" "oral" "normal" 51
"an" "nasal" "normal" 121
"an" "nasal" "normal" 198
"an" "nasal" "normal" 151
"an" "nasal" "normal" 161
"an" "nasal" "normal" 142
"an" "nasal" "normal" 174
"an" "nasal" "normal" 161
"an" "nasal" "normal" 164
"an" "nasal" "normal" 122
"an" "nasal" "normal" 169
"an" "nasal" "normal" 186
"an" "nasal" "normal" 122
"an" "nasal" "normal" 164
"an" "nasal" "normal" 147
"an" "nasal" "normal" 115
"an" "nasal" "normal" 179
"an" "nasal" "normal" 171
"an" "nasal" "normal" 160
"an" "nasal" "normal" 143
"an" "nasal" "normal" 214
"an" "nasal" "normal" 185
"an" "nasal" "normal" 162
"an" "nasal" "normal" 202
"an" "nasal" "normal" 187
"an" "nasal" "normal" 133
"an" "nasal" "normal" 113
"an" "nasal" "normal" 154
"an" "nasal" "normal" 184
"an" "nasal" "normal" 171
"an" "nasal" "normal" 135
"an" "nasal" "normal" 154
"an" "nasal" "normal" 140
"an" "nasal" "normal" 195
"an" "nasal" "normal" 121
"an" "nasal" "normal" 148
"an" "nasal" "normal" 192
"an" "nasal" "normal" 193
"an" "nasal" "normal" 146
"an" "nasal" "normal" 114
"an" "nasal" "normal" 142
"an" "nasal" "normal" 200
"an" "nasal" "normal" 159
"an" "nasal" "normal" 136
"an" "nasal" "normal" 180
"an" "nasal" "normal" 149
"an" "nasal" "normal" 182
"an" "nasal" "normal" 177
"an" "nasal" "normal" 149
"an" "nasal" "normal" 119
"an" "nasal" "normal" 174
"an" "nasal" "normal" 202
"an" "nasal" "normal" 167
"an" "nasal" "normal" 188
"an" "nasal" "normal" 169
"an" "nasal" "normal" 153
"an" "nasal" "normal" 172
"an" "nasal" "normal" 145
"an" "nasal" "normal" 150
"an" "nasal" "normal" 127
"an" "nasal" "normal" 129
"on" "oral" "normal" 51
"on" "oral" "normal" 71
"on" "oral" "normal" 53
"on" "oral" "normal" 34
"on" "oral" "normal" 57
"on" "oral" "normal" 33
"on" "oral" "normal" 44
"on" "oral" "normal" 43
"on" "oral" "normal" 66
"on" "oral" "normal" 41
"on" "oral" "normal" 55
"on" "oral" "normal" 47
"on" "oral" "normal" 29
"on" "oral" "normal" 64
"on" "oral" "normal" 54
"on" "oral" "normal" 51
"on" "oral" "normal" 76
"on" "oral" "normal" 53
"on" "oral" "normal" 35
"on" "oral" "normal" 47
"on" "oral" "normal" 38
"on" "oral" "normal" 35
"on" "oral" "normal" 11
"on" "oral" "normal" 43
"on" "oral" "normal" 49
"on" "oral" "normal" 80
"on" "oral" "normal" 28
"on" "oral" "normal" 65
"on" "oral" "normal" 64
"on" "oral" "normal" 59
"on" "oral" "normal" 54
"on" "oral" "normal" 52
"on" "oral" "normal" 60
"on" "oral" "normal" 49
"on" "oral" "normal" 40
"on" "oral" "normal" 55
"on" "oral" "normal" 41
"on" "oral" "normal" 53
"on" "oral" "normal" 30
"on" "oral" "normal" 50
"on" "oral" "normal" 48
"on" "oral" "normal" 34
"on" "oral" "normal" 50
"on" "oral" "normal" 69
"on" "oral" "normal" 37
"on" "oral" "normal" 64
"on" "oral" "normal" 28
"on" "oral" "normal" 57
"on" "oral" "normal" 64
"on" "oral" "normal" 32
"on" "oral" "normal" 54
"on" "oral" "normal" 47
"on" "oral" "normal" 44
"on" "oral" "normal" 56
"on" "oral" "normal" 61
"on" "oral" "normal" 47
"on" "oral" "normal" 69
"on" "oral" "normal" 57
"on" "oral" "normal" 22
"on" "oral" "normal" 55
"on" "nasal" "normal" 142
"on" "nasal" "normal" 211
"on" "nasal" "normal" 165
"on" "nasal" "normal" 121
"on" "nasal" "normal" 172
"on" "nasal" "normal" 141
"on" "nasal" "normal" 140
"on" "nasal" "normal" 173
"on" "nasal" "normal" 197
"on" "nasal" "normal" 198
"on" "nasal" "normal" 159
"on" "nasal" "normal" 162
"on" "nasal" "normal" 171
"on" "nasal" "normal" 198
"on" "nasal" "normal" 186
"on" "nasal" "normal" 189
"on" "nasal" "normal" 153
"on" "nasal" "normal" 137
"on" "nasal" "normal" 194
"on" "nasal" "normal" 174
"on" "nasal" "normal" 141
"on" "nasal" "normal" 203
"on" "nasal" "normal" 116
"on" "nasal" "normal" 164
"on" "nasal" "normal" 189
"on" "nasal" "normal" 141
"on" "nasal" "normal" 130
"on" "nasal" "normal" 166
"on" "nasal" "normal" 205
"on" "nasal" "normal" 167
"on" "nasal" "normal" 115
"on" "nasal" "normal" 150
"on" "nasal" "normal" 190
"on" "nasal" "normal" 203
"on" "nasal" "normal" 154
"on" "nasal" "normal" 178
"on" "nasal" "normal" 205
"on" "nasal" "normal" 144
"on" "nasal" "normal" 176
"on" "nasal" "normal" 168
"on" "nasal" "normal" 168
"on" "nasal" "normal" 188
"on" "nasal" "normal" 175
"on" "nasal" "normal" 176
"on" "nasal" "normal" 174
"on" "nasal" "normal" 138
"on" "nasal" "normal" 146
"on" "nasal" "normal" 169
"on" "nasal" "normal" 153
"on" "nasal" "normal" 140
"on" "nasal" "normal" 171
