"voyelle" "partie" "vitesse" "durée"
"1" "ain" "oral" "lente" 31
"2" "ain" "oral" "lente" 27
"3" "ain" "oral" "lente" 40
"4" "ain" "oral" "lente" 44
"5" "ain" "oral" "lente" 54
"6" "ain" "oral" "lente" 41
"7" "ain" "oral" "lente" 22
"8" "ain" "oral" "lente" 41
"9" "ain" "oral" "lente" 29
"10" "ain" "oral" "lente" 45
"11" "ain" "oral" "lente" 46
"12" "ain" "oral" "lente" 38
"13" "ain" "oral" "lente" 23
"14" "ain" "oral" "lente" 38
"15" "ain" "oral" "lente" 31
"16" "ain" "oral" "lente" 46
"17" "ain" "oral" "lente" 30
"18" "ain" "oral" "lente" 27
"19" "ain" "oral" "lente" 47
"20" "ain" "oral" "lente" 42
"21" "ain" "oral" "lente" 17
"22" "ain" "oral" "lente" 30
"23" "ain" "oral" "lente" 43
"24" "ain" "oral" "lente" 40
"25" "ain" "oral" "lente" 37
"26" "ain" "oral" "lente" 63
"27" "ain" "oral" "lente" 52
"28" "ain" "oral" "lente" 39
"29" "ain" "oral" "lente" 38
"30" "ain" "oral" "lente" 34
"31" "ain" "oral" "lente" 32
"32" "ain" "oral" "lente" 48
"33" "ain" "oral" "lente" 44
"34" "ain" "oral" "lente" 32
"35" "ain" "oral" "lente" 48
"36" "ain" "oral" "lente" 26
"37" "ain" "oral" "lente" 49
"38" "ain" "oral" "lente" 44
"39" "ain" "oral" "lente" 34
"40" "ain" "oral" "lente" 41
"41" "ain" "oral" "lente" 21
"42" "ain" "oral" "lente" 57
"43" "ain" "oral" "lente" 38
"44" "ain" "oral" "lente" 51
"45" "ain" "oral" "lente" 54
"46" "ain" "oral" "lente" 46
"47" "ain" "oral" "lente" 44
"48" "ain" "oral" "lente" 47
"49" "ain" "oral" "lente" 40
"50" "ain" "oral" "lente" 42
"51" "ain" "oral" "lente" 43
"52" "ain" "oral" "lente" 39
"53" "ain" "oral" "lente" 33
"54" "ain" "oral" "lente" 11
"55" "ain" "oral" "lente" 56
"56" "ain" "oral" "lente" 35
"57" "ain" "oral" "lente" 55
"58" "ain" "oral" "lente" 28
"59" "ain" "oral" "lente" 42
"60" "ain" "oral" "lente" 32
"61" "ain" "nasal" "lente" 405
"62" "ain" "nasal" "lente" 356
"63" "ain" "nasal" "lente" 291
"64" "ain" "nasal" "lente" 398
"65" "ain" "nasal" "lente" 313
"66" "ain" "nasal" "lente" 361
"67" "ain" "nasal" "lente" 322
"68" "ain" "nasal" "lente" 364
"69" "ain" "nasal" "lente" 282
"70" "ain" "nasal" "lente" 375
"71" "ain" "nasal" "lente" 361
"72" "ain" "nasal" "lente" 373
"73" "ain" "nasal" "lente" 334
"74" "ain" "nasal" "lente" 330
"75" "ain" "nasal" "lente" 280
"76" "ain" "nasal" "lente" 365
"77" "ain" "nasal" "lente" 310
"78" "ain" "nasal" "lente" 296
"79" "ain" "nasal" "lente" 396
"80" "ain" "nasal" "lente" 265
"81" "ain" "nasal" "lente" 323
"82" "ain" "nasal" "lente" 337
"83" "ain" "nasal" "lente" 298
"84" "ain" "nasal" "lente" 360
"85" "ain" "nasal" "lente" 350
"86" "ain" "nasal" "lente" 372
"87" "ain" "nasal" "lente" 307
"88" "ain" "nasal" "lente" 324
"89" "ain" "nasal" "lente" 304
"90" "ain" "nasal" "lente" 293
"91" "ain" "nasal" "lente" 337
"92" "ain" "nasal" "lente" 379
"93" "ain" "nasal" "lente" 309
"94" "ain" "nasal" "lente" 316
"95" "ain" "nasal" "lente" 345
"96" "ain" "nasal" "lente" 328
"97" "ain" "nasal" "lente" 349
"98" "ain" "nasal" "lente" 377
"99" "ain" "nasal" "lente" 338
"100" "ain" "nasal" "lente" 295
"101" "ain" "nasal" "lente" 263
"102" "ain" "nasal" "lente" 305
"103" "ain" "nasal" "lente" 324
"104" "ain" "nasal" "lente" 349
"105" "ain" "nasal" "lente" 324
"106" "ain" "nasal" "lente" 343
"107" "ain" "nasal" "lente" 329
"108" "ain" "nasal" "lente" 370
"109" "ain" "nasal" "lente" 307
"110" "ain" "nasal" "lente" 350
"111" "ain" "nasal" "lente" 389
"112" "ain" "nasal" "lente" 307
"113" "ain" "nasal" "lente" 263
"114" "ain" "nasal" "lente" 335
"115" "ain" "nasal" "lente" 350
"116" "ain" "nasal" "lente" 386
"117" "ain" "nasal" "lente" 361
"118" "ain" "nasal" "lente" 366
"119" "ain" "nasal" "lente" 297
"120" "ain" "nasal" "lente" 331
"121" "an" "oral" "lente" 20
"122" "an" "oral" "lente" 16
"123" "an" "oral" "lente" 25
"124" "an" "oral" "lente" 9
"125" "an" "oral" "lente" 26
"126" "an" "oral" "lente" 18
"127" "an" "oral" "lente" 23
"128" "an" "oral" "lente" 17
"129" "an" "oral" "lente" 20
"130" "an" "oral" "lente" 8
"131" "an" "oral" "lente" 28
"132" "an" "oral" "lente" 18
"133" "an" "oral" "lente" 12
"134" "an" "oral" "lente" 25
"135" "an" "oral" "lente" 5
"136" "an" "oral" "lente" 10
"137" "an" "oral" "lente" 22
"138" "an" "oral" "lente" 28
"139" "an" "oral" "lente" 21
"140" "an" "oral" "lente" 13
"141" "an" "oral" "lente" 4
"142" "an" "oral" "lente" 22
"143" "an" "oral" "lente" 16
"144" "an" "oral" "lente" 11
"145" "an" "oral" "lente" 4
"146" "an" "oral" "lente" 11
"147" "an" "oral" "lente" 15
"148" "an" "oral" "lente" 21
"149" "an" "oral" "lente" 21
"150" "an" "oral" "lente" 29
"151" "an" "oral" "lente" 21
"152" "an" "oral" "lente" 16
"153" "an" "oral" "lente" 29
"154" "an" "oral" "lente" 20
"155" "an" "oral" "lente" 28
"156" "an" "oral" "lente" 31
"157" "an" "oral" "lente" 13
"158" "an" "oral" "lente" 17
"159" "an" "oral" "lente" 32
"160" "an" "oral" "lente" 28
"161" "an" "oral" "lente" 25
"162" "an" "oral" "lente" 21
"163" "an" "oral" "lente" 32
"164" "an" "oral" "lente" 2
"165" "an" "oral" "lente" 25
"166" "an" "oral" "lente" 18
"167" "an" "oral" "lente" 15
"168" "an" "oral" "lente" 29
"169" "an" "oral" "lente" 29
"170" "an" "oral" "lente" 23
"171" "an" "oral" "lente" 17
"172" "an" "oral" "lente" 22
"173" "an" "oral" "lente" 19
"174" "an" "oral" "lente" 26
"175" "an" "oral" "lente" 25
"176" "an" "oral" "lente" 4
"177" "an" "oral" "lente" 21
"178" "an" "oral" "lente" 23
"179" "an" "oral" "lente" 22
"180" "an" "oral" "lente" 26
"181" "an" "nasal" "lente" 390
"182" "an" "nasal" "lente" 284
"183" "an" "nasal" "lente" 326
"184" "an" "nasal" "lente" 336
"185" "an" "nasal" "lente" 377
"186" "an" "nasal" "lente" 366
"187" "an" "nasal" "lente" 256
"188" "an" "nasal" "lente" 312
"189" "an" "nasal" "lente" 308
"190" "an" "nasal" "lente" 430
