"voyelle" "partie" "vitesse" "durée"
"ain" "oral" "normal" 43
"ain" "oral" "normal" 32
"ain" "oral" "normal" 38
"ain" "oral" "normal" 42
"ain" "oral" "normal" 41
"ain" "oral" "normal" 38
"ain" "oral" "normal" 45
"ain" "oral" "normal" 42
"ain" "oral" "normal" 35
"ain" "oral" "normal" 35
"ain" "oral" "normal" 39
"ain" "oral" "normal" 37
"ain" "oral" "normal" 42
"ain" "oral" "normal" 49
"ain" "oral" "normal" 43
"ain" "oral" "normal" 37
"ain" "oral" "normal" 39
"ain" "oral" "normal" 42
"ain" "oral" "normal" 44
"ain" "oral" "normal" 36
"ain" "oral" "normal" 38
"ain" "oral" "normal" 38
"ain" "oral" "normal" 33
"ain" "oral" "normal" 39
"ain" "oral" "normal" 39
"ain" "oral" "normal" 32
"ain" "oral" "normal" 38
"ain" "oral" "normal" 43
"ain" "oral" "normal" 40
"ain" "oral" "normal" 37
"ain" "oral" "normal" 36
"ain" "oral" "normal" 40
"ain" "oral" "normal" 43
"ain" "oral" "normal" 41
"ain" "oral" "normal" 42
"ain" "oral" "normal" 42
"ain" "oral" "normal" 44
"ain" "oral" "normal" 47
"ain" "oral" "normal" 39
"ain" "oral" "normal" 44
"ain" "oral" "normal" 43
"ain" "oral" "normal" 41
"ain" "oral" "normal" 44
"ain" "oral" "normal" 43
"ain" "oral" "normal" 48
"ain" "oral" "normal" 38
"ain" "oral" "normal" 43
"ain" "oral" "normal" 36
"ain" "oral" "normal" 42
"ain" "oral" "normal" 35
"ain" "oral" "normal" 45
"ain" "oral" "normal" 44
"ain" "oral" "normal" 43
"ain" "oral" "normal" 43
"ain" "oral" "normal" 38
"ain" "oral" "normal" 40
"ain" "oral" "normal" 37
"ain" "oral" "normal" 39
"ain" "oral" "normal" 37
"ain" "oral" "normal" 35
"ain" "nasal" "normal" 163
"ain" "nasal" "normal" 195
"ain" "nasal" "normal" 114
"ain" "nasal" "normal" 184
"ain" "nasal" "normal" 189
"ain" "nasal" "normal" 179
"ain" "nasal" "normal" 154
"ain" "nasal" "normal" 185
"ain" "nasal" "normal" 156
"ain" "nasal" "normal" 180
"ain" "nasal" "normal" 183
"ain" "nasal" "normal" 168
"ain" "nasal" "normal" 137
"ain" "nasal" "normal" 157
"ain" "nasal" "normal" 168
"ain" "nasal" "normal" 141
"ain" "nasal" "normal" 137
"ain" "nasal" "normal" 184
"ain" "nasal" "normal" 166
"ain" "nasal" "normal" 172
"ain" "nasal" "normal" 174
"ain" "nasal" "normal" 180
"ain" "nasal" "normal" 190
"ain" "nasal" "normal" 203
"ain" "nasal" "normal" 154
"ain" "nasal" "normal" 151
"ain" "nasal" "normal" 179
"ain" "nasal" "normal" 146
"ain" "nasal" "normal" 166
"ain" "nasal" "normal" 205
"ain" "nasal" "normal" 188
"ain" "nasal" "normal" 185
"ain" "nasal" "normal" 167
"ain" "nasal" "normal" 214
"ain" "nasal" "normal" 139
"ain" "nasal" "normal" 144
"ain" "nasal" "normal" 155
"ain" "nasal" "normal" 177
"ain" "nasal" "normal" 157
"ain" "nasal" "normal" 170
"ain" "nasal" "normal" 162
"ain" "nasal" "normal" 146
"ain" "nasal" "normal" 175
