"vowel"	"f1.1"	"f2.1"	"f3.1"	"f1.2"	"f2.2"	"f3.2"	"f1.3"	"f2.3"	"f3.3"	"f1.4"	"f2.4"	"f3.4"	"f1.5"	"f2.5"	"f3.5"	"f1.6"	"f2.6"	"f3.6"	"f1.7"	"f2.7"	"f3.7"	"f1.8"	"f2.8"	"f3.8"
"a"	1020	1560	2564	1002	1552	2621	980	1493	2603	961	1493	2550	949	1578	2687	974	1550	2507	996	1574	2597	996	1688	2696
"i"	266	2384	3182	263	2429	3296	261	2589	3091	260	2251	3267	259	2218	3164	257	2160	3165	258	2224	3161	256	2180	3173
"u"	265	675	2147	264	698	2721	269	760	2572	268	780	2454	264	702	2341	263	715	2342	263	684	2338	266	755	1968
"y"	264	1779	2140	266	1714	2178	262	1757	2095	258	1685	1998	261	1755	2056	261	1698	2077	260	1709	2066	258	1722	2159
"e"	308	2255	2756	309	2301	2745	302	2338	2836	296	2314	2829	291	2353	2830	278	2380	2833	274	2314	2824	272	2500	2864
"ai"	498	2065	2779	495	2049	2802	484	2066	2779	459	1973	2760	454	2119	2656	460	2029	2772	452	2121	2784	380	2125	2777
"o"	498	1060	2594	421	901	2706	331	870	2485	317	794	2351	320	800	2313	309	778	1882	286	683	2864	293	659	2771
"ao"	452	884	2740	436	886	2810	433	914	2814	442	920	2861	408	890	2810	408	913	2812	408	909	2785	366	883	2728
"eu"	316	1134	2477	322	1130	2494	340	1127	2761	361	1145	2732	368	1142	2737	369	1141	2704	365	1127	2754	316	1140	2801
"oe"	432	1263	2694	478	1289	2656	467	1260	2555	479	1258	2759	477	1242	2812	473	1216	2680	474	1222	2865	441	1166	2808
