consonant,speed,cs,sorder,vowel,oralPerc,nasalPerc,oralDuration,nasalDuration,totalDuration,codaDuration
p,s,ps,s1,ang,15,76,120,618,808,70
p,s,ps,s1,an,11,80,115,870,1081,96
t,s,ts,s1,an,9,82,93,844,1028,91
t,s,ts,s1,ang,46,48,345,362,748,41
m,s,ms,s1,ang,0,100,0,717,765,48
m,s,ms,s1,an,0,100,0,790,875,85
n,s,ns,s1,an,0,100,0,771,852,81
n,s,ns,s1,ang,0,100,0,792,851,59
l,s,ls,s1,an,14,72,110,558,776,108
l,s,ls,s1,ang,14,78,112,627,808,69
p,m,pm,m1,ang,28,61,191,426,694,77
p,m,pm,m1,an,20,66,116,373,567,78
t,m,tm,m1,an,14,68,83,393,577,101
t,m,tm,m1,ang,34,59,192,337,572,43
m,m,mm,m1,ang,0,100,0,495,532,37
m,m,mm,m1,an,0,100,0,406,524,118
n,m,nm,m1,an,0,100,0,495,585,90
n,m,nm,m1,ang,0,100,0,620,665,45
l,m,lm,m1,an,46,38,292,241,628,95
l,m,lm,m1,ang,27,64,155,366,571,50
p,f,pf,f1,ang,19,67,40,139,206,27
p,f,pf,f1,an,27,41,52,81,196,63
t,f,tf,f1,an,22,31,54,76,249,119
t,f,tf,f1,ang,27,60,56,127,211,28
m,f,mf,f1,ang,0,100,0,162,199,37
m,f,mf,f1,an,0,100,0,119,183,64
n,f,nf,f1,an,0,100,0,136,206,70
n,f,nf,f1,ang,0,100,0,155,182,27
l,f,lf,f1,an,21,43,43,87,204,74
l,f,lf,f1,ang,18,63,39,139,221,43
p,s,ps,s2,ang,14,82,129,749,918,40
p,s,ps,s2,an,17,74,160,680,918,78
t,s,ts,s2,an,7,79,73,778,980,129
t,s,ts,s2,ang,51,45,509,443,989,37
m,s,ms,s2,ang,0,100,0,783,830,47
m,s,ms,s2,an,0,100,0,715,837,122
n,s,ns,s2,an,0,100,0,676,765,89
n,s,ns,s2,ang,0,100,0,853,903,50
l,s,ls,s2,an,12,82,99,655,802,48
l,s,ls,s2,ang,23,71,166,519,727,42
p,m,pm,m2,an,12,74,76,472,641,93
t,m,tm,m2,an,14,70,93,457,651,101
t,m,tm,m2,ang,40,52,196,251,484,37
m,m,mm,m2,ang,0,100,0,510,549,39
m,m,mm,m2,an,0,100,0,391,520,129
n,m,nm,m2,an,0,100,0,431,563,132
n,m,nm,m2,ang,0,100,0,456,487,31
l,m,lm,m2,an,32,43,164,223,513,126
l,m,lm,m2,ang,43,50,187,216,431,28
p,m,pm,m2,ang,21,71,116,392,552,44
p,f,pf,f2,ang,19,68,43,150,222,29
p,f,pf,f2,an,23,45,57,111,248,80
t,f,tf,f2,an,17,53,37,119,224,68
t,f,tf,f2,ang,38,48,92,115,240,33
m,f,mf,f2,ang,0,100,0,234,254,20
m,f,mf,f2,an,0,100,0,138,190,52
n,f,nf,f2,an,0,100,0,165,233,68
n,f,nf,f2,ang,0,100,0,195,227,32
l,f,lf,f2,an,33,35,77,82,235,76
l,f,lf,f2,ang,28,58,62,131,225,32
p,s,ps,s3,ang,14,76,103,555,727,69
p,s,ps,s3,an,6,83,51,700,840,89
t,s,ts,s3,an,5,80,37,598,752,117
t,s,ts,s3,ang,4,92,33,710,775,32
m,s,ms,s3,ang,0,100,0,660,714,54
m,s,ms,s3,an,0,100,0,651,797,146
n,s,ns,s3,an,0,100,0,719,828,109
n,s,ns,s3,ang,0,100,0,784,839,55
l,s,ls,s3,an,7,83,61,683,826,82
l,s,ls,s3,ang,38,54,310,439,808,59
p,m,pm,m3,ang,14,80,91,522,651,38
p,m,pm,m3,an,14,60,73,324,539,142
t,m,tm,m3,an,9,72,51,384,537,102
