subj,gender,vowel,f1,f2,f3
ch01,ch,e,604,2262,3092
ch01,ch,eu,623,1716,3180
ch01,ch,y,289,1747,2225
ch01,ch,ai,578,2144,3114
ch01,ch,i,278,2650,3385
ch01,ch,o,443,840,3408
ch01,ch,oe,670,1596,3265
ch01,ch,ao,584,1022,3144
ch01,ch,a,1056,1629,2908
ch02,ch,u,271,618,2671
ch02,ch,y,243,1914,2522
ch02,ch,ai,658,2205,3075
ch02,ch,i,271,2832,3737
ch02,ch,eu,447,1537,3080
ch02,ch,oe,408,1499,3156
ch02,ch,o,345,615,3412
ch02,ch,a,1050,1595,2764
ch02,ch,e,442,2600,3352
ch02,ch,ao,345,705,3000
fr01,fr,u,295,873,2589
fr01,fr,a,769,1655,3270
fr01,fr,y,363,2117,2816
fr01,fr,oe,572,1531,2836
fr01,fr,e,528,2424,3299
fr01,fr,o,471,863,2569
fr01,fr,eu,511,1943,2791
fr01,fr,i,278,2490,3719
fr02,fr,e,555,2842,3706
fr02,fr,i,271,2981,4193
fr02,fr,o,530,1075,3363
fr02,fr,oe,733,1949,3286
fr02,fr,eu,558,1956,3110
fr02,fr,ai,686,2672,3748
fr02,fr,u,330,926,2486
fr02,fr,a,900,1508,3505
fr02,fr,y,288,2368,2778
fr02,fr,ao,783,1311,3405
